rank	username	minecraft:mined/minecraft:deepslate_coal_ore
1	pintsizedrogue	3162
2	500am	769
3	SingedBread	507
4	Hyp3rion_	390
5	Mahoose	357
6	thewindmillman	338
7	beeperbeeper5	270
8	PlasticOtari	235
9	RebelAndroid	200
10	Enderslayerxz3	174
11	Kubelz	163
12	ImpavidArcher	143
13	Smoke____	137
14	GlitchyPlate810	135
15	MSK__	132
16	Steelynan	110
17	Kakolbus	87
18	Enigma0251	76
18	SvenskaHugo	76
20	EMC_	72
21	Myszoaz	71
22	WYFYoyo	70
23	SuperPooch06	59
24	MyNameIsDakar	56
25	hcb238	50
25	ApophisNova	50
25	Toasty_Tom	50
25	MyNamaSheff	50
29	yulgur1	46
29	Deathkob	46
29	underscore_2	46
32	Winklepicker279	40
33	rarrq	36
34	_Karmaa	33
34	Freak_Genius	33
34	TheOuterCore	33
37	YungMaki	32
38	Kowcio_	31
39	MinttyFressh	30
39	Inchef	30
39	alderban107	30
42	egglapras	28
43	EcksD	25
44	Huwulling	23
44	EveryonesUncle	23
46	Flores991	22
46	Hail_the_wombat	22
48	_NieToksikpl_	21
48	verynothing	21
50	diamondgolem35	19
50	gcaisawesome	19
50	BronkerBrum	19
50	KeruNatsema	19
50	Steven1282598	19
55	TheSecondLord	18
56	00000000-0000-0000-0009-01ff0c3e5e4f	17
57	Drlzyy	16
57	MilleGrug	16
59	fade_emerge78823	15
59	The_Fulgurator	15
61	Sleepy_Time_	13
61	Ithaca_GC	13
61	MAns_44	13
64	Base_Tempest	12
64	noam464	12
64	Rocco_Lane	12
64	Jiminie	12
64	IdeallyGrey	12
64	tsitrawhy	12
70	CoffeeNoir	11
71	nataliecool	9
71	benediktine1	9
71	prizm_	9
71	Mattesco	9
71	obtusely	9
76	Chickenchaser2	8
76	jcool7	8
76	_Dri_	8
79	_Boipl_	7
79	Akoot_	7
79	Lord_Doob	7
79	coobert42	7
83	Spenduh	6
84	RoskobiOne	5
84	Jimi7hits	5
84	mobunni	5
87	Racengan	4
87	Segotep999	4
87	fffMike	4
90	SquadMonster	3
90	Smashic	3
90	Spacewardharpy7	3
93	Blackberry1310	2
93	Xalithia	2
93	CharlieButt	2
93	AlexxO_o	2
93	Jonte0599	2
93	dartwaffle	2
93	DolphinLaugh	2
93	ItsDeltaMC	2
101	strongman951753	1
101	4383	1
101	ROY4LE	1
101	Marbz_	1
101	groofles	1
101	Ezekson	1
