rank	username	minecraft:mined/minecraft:sandstone_wall
1	TheWildMateo	733
2	Kim_Jong_eel	440
3	xzvu	410
4	Soplight	386
5	Steelynan	291
6	500am	284
7	Mahoose	248
8	_stets	233
9	drunkeeez	218
10	TheShyPig	217
11	ImpavidArcher	216
12	Inbefour	203
13	Merv__	197
14	KarlKaek	170
15	weabis	164
16	Di_infiri	145
17	stellarjay	117
18	kekhon	115
19	FreakGenius	110
20	Frozil20	105
21	John6970	100
22	Groovy_MoonBird	97
23	Blackberry1310	92
24	Enderxz3	91
25	Meatlaugh	89
26	beeperbeeper5	84
27	fluddd	79
28	2Stout	74
29	H72l9w	61
29	Onennon	61
31	xXTheWolfmanXx	57
32	Hpdinosaur	52
33	emrekn	47
33	Karetoko	47
35	TheSecondLord	46
35	Werbe	46
37	MightyWertu	44
38	Parcc	43
39	ReyTheLegend	40
40	pixelviolin	39
41	FreddyFart	38
42	tuckerdoodle	37
42	Winklepicker279	37
44	rarrq	35
44	Eraxa	35
46	Hyugo	34
47	eitanzaki	33
47	TechnoNinja64	33
49	groofles	29
49	__tomato	29
51	TheDankPlatypus	28
51	_Karmaa	28
53	Vizzoid	27
53	PigDab	27
55	ShedJr_	25
55	SvenskaHugo	25
57	Cryptacity	24
57	yatsuta	24
59	Fullut	22
59	Spacewardharpy7	22
61	noam464	21
61	Studyhallsaver	21
61	SingedBread	21
64	Lord_Jord	19
64	jnp_gaming	19
66	gcaisawesome	18
66	SkateboardR6	18
68	luseis	16
68	xolstoi	16
70	joethahobo	14
70	AltnumberF4	14
70	Sral7	14
73	Doom_melon	12
74	ROY4LE	11
74	SpacesickPrism	11
74	Powowowow	11
77	noodlepack	10
77	IamCL4SSY	10
77	Legendosh	10
80	LeonelSalamanca	9
80	SwooshBoi	9
82	EveryonesUncle	8
82	Blaiku	8
82	lordpipe	8
82	Kowcio_	8
86	Euclidoris	7
86	Tyrannosplart	7
86	CACTUSLAD	7
86	AdmiralSmoke	7
90	CoffeeNoir	6
90	SuperPooch06	6
90	Barlycorn	6
93	PhantomsGhost_	5
93	Zythose	5
93	oscminus	5
93	claivin	5
93	Warlord324	5
93	YungMaki	5
93	Spenduh	5
93	EcksD	5
93	Nicserso	5
93	PlasticOtari	5
103	ImNotYuqii	4
103	T045RTY	4
103	Crowman1	4
103	mads388a	4
103	burbankbuilder28	4
103	pappaberg	4
103	ApophisNova	4
103	Deodorante	4
103	NameGenerat0r	4
103	erkada	4
103	MyNamaSheff	4
103	561cool	4
115	dimondking777	3
115	AuroraValkyrie	3
115	Huwulling	3
115	Inchef	3
115	xxPipperDipperxx	3
115	andy_rex	3
115	Skylord_Luke	3
115	ooga47	3
115	Akoot_	3
115	DarlaMeow	3
115	WyngGoy	3
115	TheEnderMan548	3
115	h2p_emrld	3
128	pintsizedrogue	2
128	xfemboyx	2
128	ChosenBruh	2
128	SteveCraftBlocks	2
128	Stiar	2
128	prizm_	2
128	0nly_sn1per	2
128	Rumpletaezer	2
128	ItsAki_	2
128	The_Cruncy	2
128	epiksk8erduck	2
128	victorLIE	2
128	CarryLine	2
128	Elastiq	2
128	_Bguette_	2
128	Fuad_R	2
128	Optiprimus	2
128	ElectricDragon81	2
128	Seindi	2
128	ConnorDanky_	2
128	little_dUki	2
149	Mr_Byzantine	1
149	diminub	1
149	TheMilkerOfCats	1
149	speenduhXD	1
149	titanlax	1
149	jushykins	1
149	Jobydobe	1
149	Masssonnn	1
149	Awyrlas	1
149	Kakolbus	1
149	Jackattack53	1
149	SirPiccardo	1
149	Mattesco	1
149	DanielMmm	1
149	thgrocks	1
149	Wowful	1
149	yulgur1	1
149	Jiminbub	1
149	Deathkob	1
149	Quaintster	1
149	lcvezra	1
149	jcool7	1
149	ZeroKraken	1
149	laron58	1
149	MrMeisterProper	1
149	vandmanden	1
