rank	username	minecraft:mined/minecraft:jungle_door
1	FreakGenius	32
2	AlexxO_o	29
3	TheDankPlatypus	19
4	little_dUki	18
5	SvenskaHugo	11
5	PlasticOtari	11
7	M_Patata	10
7	Airem_Core	10
7	MasterNueve	10
10	RadarHz	8
11	RoskobiOne	7
12	BlancoFlaco	6
12	Swexti	6
12	Kubelz	6
12	BronkerBrum	6
12	Kferno	6
17	Mahoose	5
17	joethahobo	5
17	Winklepicker279	5
17	ProfessorDiaper	5
17	Hermanni__	5
22	Xalithia	4
22	zemey	4
22	Kakolbus	4
22	SvenskaAlvar	4
22	luseis	4
22	MAns_44	4
22	Kowcio_	4
29	pintsizedrogue	3
29	Skylord_Luke	3
29	OffWithTheirHead	3
29	RealGroot	3
29	bladeefan2009	3
29	Smoke____	3
35	Esme_1	2
35	beeperbeeper5	2
35	12Magner05	2
35	xxPipperDipperxx	2
35	drunkeeez	2
35	King_Pancake1	2
35	WarMachina	2
35	EveryonesUncle	2
35	Steelynan	2
35	00000000-0000-0000-0009-01f570995a20	2
45	teslawolf38	1
45	chrolus	1
45	Hpdinosaur	1
45	CoffeeNoir	1
45	ShedJr_	1
45	Yirtle	1
45	himak1	1
45	Eraza	1
45	noam464	1
45	Hyp3rion_	1
45	Rebytre	1
45	Mattesco	1
45	Soplight	1
45	EcksD	1
