rank	username	minecraft:mined/minecraft:conduit
1	Mahoose	51
2	_TCARREIRA_	19
3	HellsSponge	14
3	Blu3beast	14
5	ImpavidArcher	13
6	thewindmillman	10
7	eitanzaki	9
7	Bumpy419	9
9	Fullut	8
9	Maenara	8
11	Dedalus36	7
11	12Magner05	7
11	EcksD	7
14	Lord_Jord	6
14	obzii	6
14	Enderslayerxz3	6
17	kekhon	5
17	claivin	5
17	YungMaki	5
17	stahouo	5
17	jcool7	5
17	EcksDofficial	5
23	Blackberry1310	4
23	Jackattack53	4
23	Racengan	4
23	Eraxa	4
23	PlasticOtari	4
28	pintsizedrogue	3
28	PhantomsGhost_	3
28	hm947	3
28	joethahobo	3
28	beeperbeeper5	3
28	rarrq	3
28	YungJakobo	3
28	Ardennes	3
28	Awyrlas	3
28	Zaridey	3
28	Chromary	3
28	GoofyBread	3
28	NameGenerat0r	3
28	fluddd	3
28	Blaiku	3
28	Skippeh	3
28	Ezekson	3
28	TechnoNinja64	3
46	Merv__	2
46	Incinere	2
46	500am	2
46	Xalithia	2
46	noam464	2
46	M_Patata	2
46	Hyp3rion_	2
46	Zythose	2
46	Onennon	2
46	TheShyPig	2
46	SpookyDraggin	2
46	chipklip	2
46	MightyWertu	2
46	BumbleBeever	2
46	MovingFish7	2
46	MasterNueve	2
46	Omar_Alone	2
46	Dreamdbr14	2
46	KingMatthew506	2
46	Nicserso	2
46	Legendosh	2
46	MeetTheWollo	2
46	Sral7	2
46	camando92	2
70	Groovy_MoonBird	1
70	diamondgolem35	1
70	error10101	1
70	ExtraDumb	1
70	ssleepless	1
70	Hpdinosaur	1
70	Euclidoris	1
70	SteveCraftBlocks	1
70	thescout7	1
70	himak1	1
70	Kubelz	1
70	Winklepicker279	1
70	Di_infiri	1
70	SuperPooch06	1
70	Rumpletaezer	1
70	Donutt	1
70	Hiryu27	1
70	aec9	1
70	Rasmanden	1
70	Sky_light_KING	1
70	NomadicRobin_	1
70	The_slideV3	1
70	QueenShuvi	1
70	Spacewardharpy7	1
70	lordpipe	1
70	LetsDoItLive	1
70	33sudo	1
70	stavgod	1
70	pixelviolin	1
70	SSytex_X	1
70	SammiWolfGirl	1
70	sebastiensaborio	1
70	FelixPSY375	1
70	jnp_gaming	1
70	Smoke____	1
