rank	username	minecraft:mined/minecraft:stripped_crimson_hyphae
1	Lutres_	675
2	Manaateee	260
3	beeperbeeper5	13
4	AdmiralSmoke	4
5	PazinGaming	3
6	Hermanni__	2
6	PlasticOtari	2
8	Crowman1	1
8	mwrty	1
8	Awyrlas	1
8	TheEnderMan548	1
8	Kowcio_	1
8	KingMatthew506	1
8	ConnorDanky_	1
8	Legendosh	1
