rank	username	minecraft:mined/minecraft:brick_wall
1	beeperbeeper5	297
2	PlasticOtari	106
3	_stets	94
4	burbankbuilder28	81
5	Merv__	51
6	ImpavidArcher	48
7	SaucyDark	43
8	EcksDofficial	40
9	Mr_Byzantine	28
10	NameGenerat0r	23
10	__tomato	23
12	fkGrim	18
13	NotMeanttoChange	16
14	kekhon	11
14	Ezekson	11
16	titanlax	10
16	Soplight	10
18	Mahoose	9
18	Onennon	9
18	iHuntWeeaboos	9
21	Spacewardharpy7	8
21	Kowcio_	8
23	Smoke____	7
24	KarlKaek	6
24	500am	6
26	Tommhh	5
26	Skylord_Luke	5
26	YungMaki	5
29	MangoSalad316	4
29	Steelynan	4
29	xorompole	4
32	rarrq	3
32	420BreadLizard	3
34	Jovaphobic	2
34	joethahobo	2
34	Fullut	2
34	noam464	2
34	thewindmillman	2
34	DarlaMeow	2
34	TechnoNinja64	2
41	Chromary	1
41	_naturell	1
41	EveryonesUncle	1
41	Frozil12	1
41	Eraxa	1
