rank	username	minecraft:mined/minecraft:oak_fence
1	pintsizedrogue	8516
2	joethahobo	4584
3	El_Jalapeno	3216
4	HellsSponge	2996
5	TheShyPig	2722
6	FreakGenius	1405
7	beeperbeeper5	1299
8	EMC_	1193
9	Di_infiri	1185
10	thescout7	1125
11	12Magner05	1111
12	ThatMan_Dave	1026
13	Mr_Byzantine	947
14	Steelynan	923
15	U_Mos_	886
16	gcaisawesome	840
16	noam464	840
18	Yamdalorian	711
19	Enderxz3	705
20	Zythose	635
21	xxPipperDipperxx	485
22	NatalieTW	484
23	YungMaki	459
24	Deathkob	438
25	Kubelz	437
26	ApophisNova	432
26	MyNamaSheff	432
28	Bumpy419	418
29	_Dean_123	399
30	Snowflowe	389
31	Kakolbus	370
32	wobn	367
32	tsitrawhy	367
34	miramyu	365
35	Xclax101	360
36	Merv__	353
37	MyNameIsJobo	351
37	Rumpletaezer	351
39	TheThomas69	347
40	non089	345
41	wwwwinnebagoooo	339
42	corpsecity	333
43	Prodiginus	320
44	gamerlord1324	304
45	TheSandwhich_	303
46	_Karmaa	295
47	rarrq	289
47	jnp_gaming	289
49	diggydog67	286
50	Iamthejo	281
51	FormulaNewt3627	278
52	PigDab	277
53	AspenLightVT	275
54	crying_wolf_13	272
55	Kowcio_	271
56	Jimb0nat0r	264
57	Onennon	261
58	TheDankPlatypus	255
59	LeauVox4921	249
60	Napoleonpancake	236
61	Hyp3rion_	229
62	Mahoose	227
63	AvaRosey	226
64	shineh10	223
65	301851	220
66	GingerNeutron	214
67	royal_2	210
67	CharlieButt	210
69	Spacewardharpy7	207
70	Ryker	206
71	soundad	205
72	Ezekson	204
73	KarlKaek	196
74	2Stout	195
75	ROY4LE	194
76	Kateesaur	188
77	Quotary	181
78	The11thDoctor	180
78	lordpipe	180
80	CoffeeNoir	177
80	Lez_	177
82	Rasmanden	173
83	slkiey	171
84	AuroraSkies	169
84	little_dUki	169
86	eitanzaki	166
87	mihimihimihi	164
88	philandr	160
89	Dakar_	159
90	bloodbiter	155
91	Windo_licker	154
91	Lord_Jord	154
93	Barlycorn	153
94	PegLegPete93	152
95	Luigipunch989	151
95	SpacesickPrism	151
95	TechnoNinja64	151
98	NoChumpChange	149
99	sp00ky_ghost977	147
100	EveryonesUncle	142
101	Huwulling	141
102	Logain42	139
102	calamariclam_I	139
104	hermmm_	138
105	ConnorDanky_	137
105	Powowowow	137
107	Druid95	134
107	EngagedGrub41	134
109	Burge_r	132
110	Blackberry1310	131
110	_witch_craft_	131
110	GooseWithin	131
113	I_Am_Mushkin	129
113	FelixPSY375	129
113	PlasticOtari	129
116	Secret_Canary	126
116	MightyWertu	126
116	mobunni	126
119	Flores991	125
119	excelsionprime	125
121	abdomera	123
122	q_wq	121
123	500am	120
124	AlphaWolfPlaysMC	118
124	Legendosh	118
126	Ssor69	116
126	luseis	116
128	nitram49b	115
128	fkGrim	115
128	DrGrant	115
128	WyngGoy	115
132	Wooptey	114
133	Krowuss	112
134	EcksD	111
135	lizardfightclub	110
135	Groundler	110
137	MAns_44	109
137	Skippeh	109
139	_3Stump_	105
140	TableTim	104
140	Rocco_Lane	104
142	Natty	102
143	titanlax	101
143	Malorn_Aetherius	101
143	Smashic	101
146	Comma__	100
147	benediktine1	98
148	jacxhadow	97
148	eiC_	97
148	PaperCanvas	97
151	PhantomsGhost_	96
151	SSytex_X	96
153	j5ylim	95
154	ThePoliteG	94
154	Elastiq	94
156	Valoth	92
156	BobDeBouwer1337	92
158	Alteriity	91
159	Strangemonkey71	90
160	bloomkieren	89
161	Mikael_Kuningas	88
162	Frozil20	87
162	picardred	87
162	fade_emerge78823	87
162	ProfessorDiaper	87
166	Groovy_MoonBird	86
166	privatemeekly	86
168	Iagoku	82
168	Soplight	82
170	CLG_Kata	80
170	Prismyst	80
170	kekhon	80
170	Fullut	80
170	oscminus	80
170	The_slideV3	80
176	07shiny	77
177	Meatlaugh	76
178	WinterSepp	75
178	SkateboardR6	75
180	Fuhrer_Teemo	74
180	KingMatthew506	74
182	Crowman1	73
182	Winklepicker279	73
182	Arceus1975	73
182	Lord_Zacler	73
182	blackeemperor	73
182	SammiWolfGirl	73
188	_vlex	72
188	burbankbuilder28	72
188	Azmodan_246	72
188	Hahaa_0	72
192	KingFaenor	71
192	Z3braYTIL	71
192	OreTheBear	71
192	obzii	71
196	Skylord_Luke	70
196	DemTechAlpha	70
196	claivin	70
199	MattieHD	68
200	ShedJr_	67
200	pixelviolin	67
202	Raspberry_Sodas	66
202	radioactv_jelly	66
204	Matemkas	65
205	Pumpkin_P_Patch	63
205	cichy096	63
207	Werbe	62
208	6king6colt6	61
208	Mewar	61
210	CattSoup	60
211	yatsuta	59
211	xorompole	59
213	T045RTY	58
213	Jokerman369	58
213	Mattesco	58
216	drumine	57
217	Gingayy	56
217	AJplaysMC_	56
217	PlzNoBM	56
220	ECstardust	55
220	chlorinex	55
220	The_Quack_Dealer	55
220	bluefragmentt	55
224	DermeinUser	54
224	MousePlays	54
224	DarkS0L	54
224	QuesoCrusaderIII	54
228	IWorkAtIkea	53
228	ZigzagLily43042	53
228	LilLizardWizard	53
228	IamCL4SSY	53
228	Spankathor	53
228	Segotep999	53
228	laron58	53
228	JohnPrice	53
236	jushykins	52
236	Jackattack53	52
236	SuperPooch06	52
236	truonggojo777	52
240	livingdaydreams	51
240	Jackster03	51
240	TheSecondLord	51
240	Andy__Dufresne	51
240	toj__	51
240	Reneedium	51
240	momis24	51
247	_Huge_Male_	50
247	Frxnkz	50
247	Skomo	50
247	EdGalbraith	50
251	MovingFish7	49
251	SUN_DREAM	49
251	CoryJJ	49
254	cheerytomato	48
254	theofiel	48
254	Akoot_	48
257	lotarp	47
257	Kouridragon	47
257	Bloo2406	47
257	_Meow_Mix	47
261	Reamdin	46
261	Euclidoris	46
261	Zerosene	46
261	Maenara	46
261	ElderRifken	46
261	Nicserso	46
261	Biites	46
268	Darkgon	45
268	kyouma777	45
268	skitzxo	45
268	h2p_emrld	45
272	ratglock	44
272	Hiryu27	44
272	Racengan	44
272	trexgb	44
276	myaccountwasgone	43
276	Hydro___________	43
276	Vorlice	43
279	DaviusMaximoose	42
279	CaptainDeadBread	42
279	p4lp	42
279	Shiirazu	42
279	1442	42
279	smogfrog	42
279	Deliriohm	42
286	Myszoaz	41
286	fluddd	41
288	Vizzoid	40
288	GLLogan2	40
288	KliBeast21	40
291	k_ce	39
291	m_be9	39
291	selectrix	39
291	Nekomin0	39
295	Jovaphobic	38
295	ActualPatbaf	38
295	Julmish	38
295	StinkyDiplomat	38
295	Fildyr	38
295	IAmTheWalrus910	38
