rank	username	minecraft:mined/minecraft:iron_door
1	eitanzaki	181
2	xolstoi	116
3	noam464	112
4	jnp_gaming	110
5	FreakGenius	76
6	joethahobo	72
7	beeperbeeper5	64
8	12Magner05	58
9	Crowman1	56
10	PlasticOtari	49
11	PigDab	41
12	mihimihimihi	37
13	EngagedGrub41	36
14	UltraZombie	33
15	pintsizedrogue	32
16	KarlKaek	27
17	EveryonesUncle	26
18	luseis	25
18	TheOuterCore	25
18	Smoke____	25
21	cichy096	24
22	Bucscw24	22
23	Hyp3rion_	21
24	Ze_BaronKrigler	20
25	Historical_Sand	19
26	thewindmillman	18
27	ProfessorDiaper	17
28	Spacewardharpy7	16
28	MineMaster0012	16
30	teslawolf38	15
30	500am	15
32	Kkanot	14
32	xxPipperDipperxx	14
32	r123moore	14
32	censorsheep	14
32	Iamthejo	14
32	smogfrog	14
32	Enderxz3	14
39	Jackster03	13
39	Inchef	13
39	Ezekson	13
42	hm947	12
42	burbankbuilder28	12
42	AssFullaCum	12
45	Fuad_R	11
45	gusstationwerker	11
45	fffMike	11
45	EcksD	11
49	Huwulling	10
50	FazeObama69	9
50	lorpus	9
50	binman420	9
50	Blaiku	9
50	Kowcio_	9
50	brofrickcheaters	9
56	ShedJr_	8
56	kekhon	8
56	Winklepicker279	8
56	RoofTyler	8
56	Nycteus_	8
56	Hisiste	8
56	Kubeusz2010	8
63	Esme_1	7
63	Kubelz	7
63	Luminad3	7
63	Elastiq	7
63	KingMatthew506	7
68	MuffinManzz	6
68	6king6colt6	6
68	TheSecondLord	6
68	CharlieButt	6
68	Billious	6
68	HyperCave	6
68	MAns_44	6
68	ThatMan_Dave	6
68	Mythic1130	6
68	Quotary	6
78	EMC_	5
78	Lez_	5
78	BobDeBouwer1337	5
78	MinttyFressh	5
78	catandmoose	5
78	Yirtle	5
78	Awyrlas	5
78	Di_infiri	5
78	Chromary	5
78	Akoot_	5
78	_Ruzeeq_	5
78	Eraxa	5
78	Eczbek	5
78	AltnumberF4	5
92	Nicky_H225	4
92	ROY4LE	4
92	Jackattack53	4
92	_Boipl_	4
92	Gryglu583	4
92	Syropatathe	4
92	DanTheBuilderino	4
92	iSammael	4
92	UCP_TheKingK	4
92	obzii	4
102	k_ce	3
102	Mr_Byzantine	3
102	chipklip	3
102	SyntheticSurgeon	3
102	Alteriity	3
102	Mahoose	3
102	jessewegottacook	3
102	Pofen	3
102	SteveCraftBlocks	3
102	M_Patata	3
102	ZeroAbyssTTV	3
102	Skylord_Luke	3
102	Klerick	3
102	Living_Storms	3
102	wwwwinnebagoooo	3
102	SkateboardR6	3
102	SvenskaHugo	3
102	ReyTheLegend	3
102	RealGroot	3
102	Hermanni__	3
102	Legendosh	3
123	PhantomsGhost_	2
123	soundad	2
123	Merv__	2
123	Tommhh	2
123	Frozil20	2
123	Gundam_Steven	2
123	ITDV	2
123	MrKrabOnCoke	2
123	Blackberry1310	2
123	NotTrixi	2
123	hcb238	2
123	gcaisawesome	2
123	olliebollie48	2
123	Mattesco	2
123	groofles	2
123	Wowful	2
123	Lord_Zacler	2
123	LexMakesHistory	2
123	SlinkyPinky	2
123	NameGenerat0r	2
123	weabis	2
123	fluddd	2
123	TheTommyGun63	2
123	Shin69	2
123	PirreJR	2
123	Soplight	2
123	GlitchyPlate810	2
123	MilleGrug	2
123	TheALV	2
123	ZoomieZoomie	2
123	ConnorDanky_	2
123	RadarHz	2
123	Jimb0nat0r	2
123	00000000-0000-0000-0009-01f358e1a055	2
157	Groovy_MoonBird	1
157	NatalieTW	1
157	_Huge_Male_	1
157	SmashingPump	1
157	ImpavidArcher	1
157	Killercatty78	1
157	NinjaKnifeKill	1
157	NieToksikpl	1
157	bloodbiter	1
157	MattieHD	1
157	TheThomas69	1
157	Lumien_	1
157	eclipseboi	1
157	Z3braYTIL	1
157	mrnosetackle	1
157	fade_emerge78823	1
157	PegLegPete93	1
157	Xalithia	1
157	Covalents	1
157	benediktine1	1
157	Mjolnir145	1
157	prizm_	1
157	Arceus1975	1
157	Zythose	1
157	GreedyFern8581	1
157	SlothInASuit	1
157	ApophisNova	1
157	KartivGal	1
157	Cr1mzonYT	1
157	bearlystraight	1
157	FishyBoy3811	1
157	Jimi7hits	1
157	SaintJosie	1
157	parodypatient	1
157	masskedman	1
157	Agent108	1
157	Mr_Gulle	1
157	jake314810	1
157	Beagle_Boy	1
157	MyNameIsDakar	1
157	HellsSponge	1
157	Methalox1	1
157	501g	1
157	OffWithTheirHead	1
157	MS_Pryxx	1
157	Arlosaurus	1
157	lordpipe	1
157	YungMaki	1
157	__tomato	1
157	pk1297	1
157	jcool7	1
157	ThisUserIsStump	1
157	88Hazza88	1
157	MyNamaSheff	1
157	2bolx_	1
157	Teebone15	1
157	remmisrat	1
157	00000000-0000-0000-0009-01f80c5e9346	1
