rank	username	minecraft:mined/minecraft:shulker_box
1	joethahobo	23399
2	Hyp3rion_	20615
3	noam464	19937
4	thewindmillman	15061
5	YungMaki	6833
6	AdmiralSmoke	6465
7	HellsSponge	6345
8	EMC_	5885
9	Spacewardharpy7	5645
10	Di_infiri	5298
11	Frozil20	4803
12	PlasticOtari	4619
13	Lez_	4582
14	thescout7	4477
15	FreakGenius	4337
16	lordpipe	4103
17	PigDab	3782
18	eitanzaki	3749
19	Manaateee	3498
20	gcaisawesome	3490
21	EcksD	3358
22	Jackattack53	3263
23	Blaiku	3166
24	hanaryheatwave	3112
25	Ezekson	3072
26	beeperbeeper5	2857
27	luseis	2416
28	Huwulling	2347
29	Racengan	2244
30	Kowcio_	2199
31	500am	2191
32	SpacesickPrism	2156
33	Skippeh	2016
34	Mewar	1957
35	_Mythic____	1717
36	Enderxz3	1707
37	Marbz_	1682
38	Segotep999	1632
39	Kakolbus	1549
40	TheSecondLord	1439
41	Smashic	1419
42	Hisiste	1377
43	kekhon	1336
44	Lutres_	1321
45	Blackberry1310	1299
46	ConnorDanky_	1266
47	Lord_Jord	1250
48	pintsizedrogue	1244
49	Mahoose	1236
50	Spenduh	1198
51	Arceus1975	1190
52	Hermanni__	1171
53	Rebytre	1134
54	Alteriity	1127
55	Jimb0nat0r	1059
56	PhantomsGhost_	1023
57	Groundler	1017
58	non089	927
59	Nicserso	901
60	NomadicRobin_	851
61	Iamthejo	846
62	Soplight	844
63	Jimi7hits	823
64	ApophisNova	819
65	fffMike	816
66	MyNamaSheff	811
67	mihimihimihi	809
68	TheShyPig	795
69	12Magner05	778
69	TheBananaKat	778
71	Krowuss	772
72	Quotary	766
73	Sral7	764
74	SvenskaHugo	761
75	fw3xy74	751
76	k_ce	737
77	MilleGrug	735
78	MoistMicrowave	733
79	Bumpy419	721
80	mwrty	720
81	MightyWertu	687
82	MakeHistory157	670
83	Skylord_Luke	645
84	Awyrlas	643
85	Historical_Sand	640
86	Creativebuilder2	627
87	XboxPanda	624
88	RebelAndroid	611
89	MattieHD	609
90	Blu3beast	601
91	MinttyFressh	587
92	Werbe	574
93	Crowman1	573
94	Legendosh	567
95	Akoot_	557
96	Mr_Byzantine	550
97	gren_ben	542
97	Xalithia	542
99	pixelviolin	536
100	MrKrabOnCoke	526
101	LeonelSalamanca	523
102	F_Uhre	522
103	EngagedGrub41	516
104	Fuad_R	507
105	WyngGoy	501
106	Steelynan	493
107	diamondgolem35	483
108	skrongus	475
109	lillips	473
110	Mattesco	466
111	ImpavidArcher	464
112	CLG_Kata	461
113	AlexxO_o	453
114	Xclax101	444
115	set67	442
115	MyNameIsJobo	442
117	xxPipperDipperxx	439
118	H0UNDFRMH3LL	436
118	drunkeeez	436
120	T045RTY	435
121	ECstardust	434
122	MineMaster0012	433
123	himak1	419
124	NieToksikpl	418
125	SammiWolfGirl	415
126	HolyVenom	410
127	Hoid_the_Roamer	407
128	rarrq	404
129	yulgur1	389
130	yheece	387
131	Fullut	385
131	Rumpletaezer	385
133	Eraxa	384
134	Jonafrog99	382
135	M_Patata	381
136	legal_tax_evader	374
136	Steve897	374
138	Da_Boss_Rani	370
139	Inchef	369
139	ROY4LE	369
141	Chromary	364
142	bigstankyy	360
143	fkGrim	355
144	ItsMrRamen	349
145	CattSoup	347
146	CalebDHawk	342
147	The11thDoctor	341
148	FishisTTV	338
149	MAns_44	334
150	MasterNueve	333
151	PazinGaming	332
152	sp00ky_ghost977	327
153	jnp_gaming	326
154	NameGenerat0r	325
154	obzii	325
156	Njensen7	319
157	Comma__	314
158	corvidpartyfor6	309
158	LexMakesHistory	309
160	6king6colt6	306
161	Barlycorn	301
162	Warlord324	291
162	_i_ERROR_i_	291
164	lcvezra	288
165	Secret_Canary	286
165	4774	286
165	jcool7	286
168	lizardfightclub	273
169	Inbefour	271
170	ITDV	270
170	vandmanden	270
172	_TCARREIRA_	266
173	EveryonesUncle	262
174	Apollo_993	259
174	Eczbek	259
176	teslawolf38	254
177	KingMatthew506	253
178	_Karmaa	252
179	Powowowow	251
180	Strangemonkey71	248
181	h2p_emrld	245
182	r123moore	241
182	mariominejedi	241
182	UCP_TheKingK	241
185	Syropatathe	237
186	Deathkob	236
187	catandmoose	234
188	GooseWithin	229
189	HyperCave	226
190	prizm_	225
191	masskedman	219
192	MirielThePastor	218
193	SpaceGrenadier	217
194	CoffeeNoir	211
194	Auseawesome	211
194	Touched_Bread	211
197	Rocco_Lane	209
197	Tyrannosplart	209
199	Cowison	207
199	NATE_the_HALO	207
201	Sheldor097	206
202	burbankbuilder28	205
203	Zythose	204
203	Shogunite	204
205	xzvu	203
206	CollinMH06	202
206	iSammael	202
208	excelsionprime	201
209	titanlax	199
210	Tjhodskins19	198
210	stavgod	198
212	2blox_	195
213	SkateboardR6	193
214	TechnoNinja64	192
215	_Virify_	191
215	oscminus	191
215	claivin	191
218	lorpus	190
218	FishyBoy3811	190
220	Ryker	187
221	Bandito_Roamer	183
222	IAmTheWalrus910	182
222	little_dUki	182
224	longappendage	180
224	Nycteus_	180
226	SteveCraftBlocks	179
227	Cocoamallows	175
228	301851	173
228	bloodbiter	173
228	Deodorante	173
228	Winston_Ingram	173
232	TheOuterCore	170
233	SmashingPump	169
233	ZoomieZoomie	169
235	FelixPSY375	167
236	tuckerdoodle	166
237	I_Am_Mushkin	165
238	q_wq	164
239	fade_emerge78823	161
240	Zoeyfortnite	158
241	G1ldor	157
242	Batman922	156
243	PortlyPete69	155
244	AuroraValkyrie	152
244	epiksk8erduck	152
246	jessewegottacook	150
247	TooManyDuck	149
247	groofles	149
249	thgrocks	148
250	Myszoaz	147
251	Luigipunch989	145
252	ibarker21	144
