rank	username	minecraft:mined/minecraft:mangrove_wall_sign
1	Mahoose	9
2	Mr_Byzantine	5
2	Mattesco	5
4	Merv__	4
4	Werbe	4
4	lordpipe	4
4	AdmiralSmoke	4
8	hanaryheatwave	3
8	oscminus	3
10	ECstardust	2
11	Lez_	1
11	TheSecondLord	1
11	SteveCraftBlocks	1
11	Touched_Bread	1
11	luseis	1
11	Soplight	1
11	Enderxz3	1
11	Jimb0nat0r	1
