rank	username	minecraft:mined/minecraft:white_glazed_terracotta
1	mihimihimihi	672
2	noam464	530
3	Yamdalorian	400
4	eitanzaki	289
5	QueenShuvi	274
6	Inbefour	206
7	TheKingK_	192
8	FreakGenius	190
9	ImpavidArcher	172
10	PaperCanvas	163
11	Legendosh	150
12	Tobinator_007	137
13	EcksD	136
14	Mahoose	129
15	wwwwinnebagoooo	112
16	m_be9	106
17	Spacewardharpy7	99
18	tobinwilliams	98
19	jnp_gaming	96
20	Di_infiri	92
21	Parcc	70
22	emreknugrlu	62
23	Merv__	59
24	Steelynan	56
25	Tommhh	50
26	RatatJuice	45
27	Kim_Jong_eel	44
28	NatalieTW	43
29	kekhon	40
30	SaucyDark	38
31	Tristankill	37
32	diggydog67	35
33	Mr_Byzantine	32
34	CarltheCuck	27
34	Lutres_	27
36	non089	26
37	Kowcio_	21
38	Kamflame	20
39	QuiCreans	19
40	Awyrlas	16
41	xxPipperDipperxx	14
41	Akoot_	14
41	lordpipe	14
44	Bumpy419	13
44	Pumpkin_P_Patch	13
46	ATrojansLegend	12
46	Nicserso	12
48	lordsaladito	10
48	PigDab	10
48	Blaiku	10
51	mwrty	9
51	hanaryheatwave	9
53	CoffeeNoir	8
53	MSK__	8
53	Ozixar	8
53	Malorn_Aetherius	8
53	12Magner05	8
53	TheDankPlatypus	8
53	thebaddruid	8
53	Dan_Scha	8
53	StinkyDiplomat	8
53	Enderxz3	8
63	Sabby65	7
63	txxskx	7
65	Whiterooster001	5
65	Jackattack53	5
65	AJplaysMC_	5
68	_Virify_	4
68	jacxhadow	4
68	Secret_Canary	4
68	SteveCraftBlocks	4
68	MightyWertu	4
68	monky_irl	4
68	YungMaki	4
68	Powowowow	4
68	PlasticOtari	4
77	Lez_	3
77	titanlax	3
77	burbankbuilder28	3
80	Inchef	2
80	gcaisawesome	2
80	Rumpletaezer	2
80	Blu3beast	2
80	Soplight	2
80	_TCARREIRA_	2
80	Kubeusz2010	2
80	ConnorDanky_	2
88	abramgray	1
88	RoskobiOne	1
88	KarlKaek	1
88	Hyugo	1
88	Mewar	1
88	ROY4LE	1
88	Winklepicker279	1
88	whoaluv	1
88	WET_WET_WET	1
88	F_Uhre	1
88	CarryLine	1
88	luseis	1
88	Druid95	1
88	ItsDeltaMC	1
88	Razzgriz	1
88	pixelviolin	1
88	1Riot	1
88	jcool7	1
88	skitzxo	1
