rank	username	minecraft:mined/minecraft:purple_carpet
1	HellsSponge	987
2	joethahobo	861
3	jnp_gaming	574
4	burbankbuilder28	560
5	MakeHistory157	223
6	lordpipe	216
7	Jovaphobic	180
8	Legendosh	116
9	Smoke____	111
10	Soplight	53
11	Mahoose	52
12	SaucyDark	44
13	LoboTheLobster	41
14	beeperbeeper5	34
15	ROY4LE	29
16	Snowflowe	28
17	TechnoNinja64	27
18	fkGrim	26
18	wwwwinnebagoooo	26
18	YungMaki	26
21	Kowcio_	23
22	Merv__	21
23	FishyBoy3811	19
24	titanlax	18
25	lcvezra	17
26	pintsizedrogue	14
26	Enderslayerxz3	14
28	AlazelTheReal	13
28	MaGro2010	13
28	Njensen7	13
31	6king6colt6	12
31	00000000-0000-0000-0009-01ff0c3e5e4f	12
33	12Magner05	11
33	MAns_44	11
33	mihimihimihi	11
33	diggydog67	11
37	thgrocks	10
37	__tomato	10
39	EMC_	9
39	Inchef	9
39	Factoroni	9
39	UrbanPlanner1978	9
43	mwrty	8
44	KarlKaek	7
44	r123moore	7
44	thewindmillman	7
44	TheShyPig	7
48	RebelAndroid	6
48	Ezekson	6
50	heckface	5
50	AJplaysMC_	5
50	NomadicRobin_	5
53	MinttyFressh	4
53	KlausVonStiglitz	4
55	xXxSebastianLxXx	3
55	chipklip	3
55	ediballbearings	3
55	GlitchyPlate810	3
55	PlzNoBM	3
60	TheBiggestFeller	2
60	TooManyDuck	2
60	FS0L0	2
60	SquadMonster	2
60	dopplexd	2
60	bloodbiter	2
60	drompje	2
60	Deerfoot	2
60	_3Stump_	2
60	Steelynan	2
70	Swexti	1
70	rarrq	1
70	NieToksikpl	1
70	Cryptacity	1
70	TheSecondLord	1
70	kekhon	1
70	pr33tu	1
70	Dali1465	1
70	Mewar	1
70	xxPipperDipperxx	1
70	noam464	1
70	Wotters7	1
70	AnnieBathory	1
70	ApophisNova	1
70	RobotMinion101	1
70	BugsDaBunny	1
70	cedric72	1
70	DarlaMeow	1
70	claivin	1
70	Blaiku	1
70	Spacewardharpy7	1
70	Fizznut909	1
70	KingMatthew506	1
70	oxfordschool	1
70	xWeber	1
70	MyNamaSheff	1
70	Zoeyfortnite	1
