rank	username	minecraft:mined/minecraft:black_terracotta
1	joethahobo	1532
2	Rumpletaezer	444
3	MyNameIsJobo	212
4	Mahoose	203
5	500am	182
6	EMC_	177
7	Bandito_Roamer	152
8	KingMatthew506	119
9	oxfordschool	118
10	JoCoLi	113
11	Blu3beast	92
11	MightyWertu	92
13	Blackberry1310	78
14	thescout7	73
15	pintsizedrogue	72
16	Di_infiri	71
17	Merv__	70
18	mwrty	62
19	Awyrlas	57
20	Inbefour	22
21	Inchef	20
21	ChocolatePepsi	20
23	Snowflowe	18
24	Kamflame10	17
24	YungMaki	17
26	Smoke____	14
27	Notta	10
28	_Karmaa	9
28	bloomkieren	9
28	JohnPrice	9
31	Deathkob	8
31	NameGenerat0r	8
31	EcksD	8
34	SaucyDark	7
34	SuperPooch06	7
36	Onennon	6
36	lillips	6
36	iTheRaiden	6
39	beeperbeeper5	4
39	Dan_Scha	4
41	TheSecondLord	3
41	kekhon	3
41	thewindmillman	3
41	XxCookiequeenxX	3
41	sp00ky_ghost977	3
41	Sral7	3
47	AuroraValkyrie	2
47	ImpavidArcher	2
47	Batman922	2
47	12Magner05	2
47	MilleGrug	2
52	Myszoaz	1
52	boog4loo	1
52	noam464	1
52	Zaridey	1
52	Ecplosive	1
52	ooga47	1
52	fluddd	1
52	jcool7	1
52	TechnoNinja64	1
52	PlasticOtari	1
