rank	username	minecraft:mined/minecraft:chiseled_tuff_bricks
1	Enderxz3	1133
2	thewindmillman	280
3	pixelviolin	238
4	Buuck_	223
5	Secret_Canary	207
6	MyMawgDonaldsGon	88
7	oscminus	59
8	k_ce	56
9	Spaghettatron	52
10	CLG_Kata	50
11	Eczbek	39
12	Yamdalorian	38
13	00000000-0000-0000-0009-01fe065167f0	12
14	_Mythic____	7
15	MAns_44	6
16	net_flex	5
16	TheKingK_	5
18	Merv__	4
18	MattieHD	4
18	Soplight	4
21	Werbe	3
21	cutelilreno	3
23	lumiscosity	2
23	Pumpkin_P_Patch	2
25	Mr_Byzantine	1
25	beeperbeeper5	1
25	lpinfinity	1
25	KamFurnace	1
