rank	username	minecraft:mined/minecraft:dead_tube_coral
1	Di_infiri	52
2	Smoke____	3
3	Mahoose	2
3	eclipseboi	2
5	titanlax	1
5	HellsSponge	1
5	Kowcio_	1
