rank	username	minecraft:mined/minecraft:light_gray_concrete
1	Groundler	11117
2	thescout7	5053
3	Winklepicker279	4276
4	Jackattack53	3215
5	noam464	3188
6	EveryonesUncle	1930
7	beeperbeeper5	1829
8	NameGenerat0r	1782
9	Di_infiri	1655
10	Onennon	1621
11	Sral7	1607
12	TheSecondLord	1582
13	titanlax	1580
14	Spenduh	1426
15	RobotMinion101	1387
16	joethahobo	1345
17	Blaiku	1339
18	Rumpletaezer	1305
19	alderban107	1303
20	Inchef	1232
21	Swexti	1173
22	ImpavidArcher	1155
23	lillips	1107
24	lordpipe	1025
25	PlasticOtari	918
26	SkateboardR6	881
27	__tomato	849
28	iSammael	640
29	xxPipperDipperxx	636
30	fffMike	629
31	oxfordschool	628
32	chipklip	621
33	_Karmaa	594
34	PhantomsGhost_	587
35	Mahoose	585
36	YungMaki	565
37	drunkeeez	537
38	Winston_Ingram	525
39	Glumb0	512
40	MousePlays	508
41	PortlyPete69	466
42	Incinere	463
43	Comma__	451
44	AJplaysMC_	370
45	eitanzaki	365
46	BlankityMcBlank	309
47	500am	296
47	Eraxa	296
49	oreee	287
50	Xclax101	241
51	Arceus1975	216
52	Hiryu27	211
53	Chromary	184
54	bigstankyy	145
55	I_Am_Mushkin	133
56	Spacewardharpy7	132
57	Zoeyfortnite	130
58	Deathkob	123
59	Blackberry1310	111
60	pintsizedrogue	102
61	Ailmast	95
62	NotMeanttoChange	90
63	Hoid_the_Roamer	87
64	Yahir091	85
65	Sky_light_KING	84
65	Akoot_	84
67	Soap_Bender	83
68	remmisrat	80
69	LordSpeed37	76
70	Miko_Fullbuster	74
70	Ezekson	74
72	kekhon	72
73	ROY4LE	71
74	stavgod	69
75	obzii	68
75	TechnoNinja64	68
77	_Dri_	67
78	_Virify_	66
79	YoshikageBites	65
80	stellarjay	64
81	Ssor69	61
82	Frozil20	60
83	Cryptacity	56
83	HellsSponge	56
85	Rasmanden	52
86	ooga47	50
87	NomadicRobin_	44
88	Merv__	41
88	egglapras	41
88	Smoke____	41
91	Hyp3rion_	40
92	StinkyDiplomat	39
93	Sheldor097	28
94	Racengan	25
95	thewindmillman	18
96	JayToe	16
97	ProfessorBee	12
97	Inbefour	12
99	theonlymagikarp	11
99	Truckoss	11
99	sp00ky_ghost977	11
102	Jackster03	10
102	TheShyPig	10
104	mwrty	9
104	The_slideV3	9
106	SuperPooch06	8
106	yaboo88	8
106	__Auspicious	8
109	ILoveCarrot	7
109	Agent108	7
111	ApophisNova	6
111	claivin	6
111	Strangemonkey71	6
111	MyNamaSheff	6
115	Snowflowe	5
115	_Bguette_	5
117	MattieHD	4
117	MakeHistory157	4
119	seanitoo	3
119	m_be9	3
119	eviltunix	3
119	k1ngGilgamesh	3
119	mihimihimihi	3
119	WyngGoy	3
119	EcksD	3
126	EllaBellaChu	2
126	MSK__	2
126	Da_Boss_Rani	2
126	Fullut	2
126	XboxPanda	2
126	M_Patata	2
126	Aerqophs	2
126	RodSerlingCringe	2
126	yulgur1	2
126	MustaLoordi	2
126	Hisiste	2
126	MasterNueve	2
126	SSytex_X	2
126	stahouo	2
126	non089	2
126	VentiHilton	2
126	Quotary	2
126	Nicserso	2
126	Enderslayerxz3	2
126	jnp_gaming	2
146	Cowison	1
146	Nesquiczek	1
146	Hpdinosaur	1
146	SyntheticSurgeon	1
146	Batman922	1
146	CoffeeNoir	1
146	ShedJr_	1
146	zylanzagreat	1
146	Covalents	1
146	shockdocta	1
146	Skylord_Luke	1
146	thgrocks	1
146	binman420	1
146	Jiminie	1
146	MyNameIsDakar	1
146	_p1ta_	1
146	cog	1
146	OG_Songsee	1
146	ayamefag	1
146	KG1999	1
146	Legendosh	1
146	The_SlideV5	1
146	h2p_emrld	1
