rank	username	minecraft:mined/minecraft:dirt
1	joethahobo	394082
2	Spacewardharpy7	301311
3	EveryonesUncle	257289
4	Di_infiri	233178
5	gcaisawesome	210767
6	beeperbeeper5	200587
7	YungMaki	197674
8	HellsSponge	172763
9	PigDab	169123
10	TheShyPig	162833
11	Werbe	152147
12	Yamdalorian	144260
13	pintsizedrogue	139273
14	noam464	137999
15	Skylord_Luke	132827
16	Ezekson	118620
17	EMC_	117130
18	Iamthejo	113016
19	oscminus	95187
20	FreakGenius	90274
21	Buuck_	86392
22	Blaiku	83559
23	luseis	79999
24	Mattesco	79744
25	Gus2005	79211
26	PazinGaming	78765
27	NatalieTW	78512
28	thewindmillman	76519
29	thescout7	71170
30	El_Jalapeno	69907
31	Hyp3rion_	69495
32	eitanzaki	67908
33	MoistMicrowave	67907
34	12Magner05	64568
35	Enderxz3	63210
36	Mr_Byzantine	62847
37	Jackattack53	62174
38	Blackberry1310	61756
39	Jonafrog99	59158
40	Mahoose	58796
41	Cowison	56873
42	Steelynan	56388
43	TheSecondLord	53704
44	EcksD	53237
45	vandmanden	52674
46	lordpipe	49790
47	Lord_Jord	48621
48	Frozil20	45632
49	burbankbuilder28	44809
50	m_be9	43659
51	j5ylim	43180
52	Manaateee	42484
53	500am	41147
54	CoffeeNoir	40935
55	Arceus1975	40676
56	FelixPSY375	40604
57	Kakolbus	40292
58	Segotep999	40288
59	SpacesickPrism	39420
60	Legendosh	39152
61	wwwwinnebagoooo	36752
62	crashomon	36313
63	Fullut	35350
64	cedric72	35267
65	kekhon	34684
66	LordSpeed37	34610
67	claivin	34141
68	Blu3beast	33169
69	Onennon	32285
70	Snowflowe	31829
71	_witch_craft_	30354
72	Kowcio_	30352
73	Mewar	29749
74	RebelAndroid	29731
75	ApophisNova	29438
76	MyNamaSheff	29432
77	Deathkob	29271
78	himak1	28889
79	hermmm_	28178
80	xzvu	28004
81	Zythose	27222
82	q_wq	27088
83	Lutres_	26933
84	RoskobiOne	26649
85	_Karmaa	25895
86	k_ce	25581
87	xxPipperDipperxx	24763
88	set67	24696
89	Fuad_R	24542
90	mihimihimihi	24534
91	PlasticOtari	24204
92	Inchef	23857
93	MyNameIsJobo	23674
94	ImpavidArcher	23335
95	Jovaphobic	23241
96	TooManyDuck	23127
97	rarrq	22760
98	Marbz_	22524
99	SpaceGrenadier	22451
100	shineh10	22092
101	Hisiste	21901
102	BlancoFlaco	21590
103	Winklepicker279	21371
104	chimpmunker	20867
105	mwrty	20762
106	11Brewer	20718
107	TechnoNinja64	20637
108	Huwulling	20513
109	Merv__	20326
110	MightyWertu	20283
111	TheBananaKat	20214
112	Nicserso	20083
113	jnp_gaming	20066
114	skitzxo	19898
115	PhantomsGhost_	19895
116	_Dean_123	19579
117	Soplight	19471
118	Racengan	18993
119	hanaryheatwave	18949
120	QuiCreans	18357
121	diamondgolem35	18343
122	royal_2	18072
123	Bumpy419	17989
124	Krowuss	17768
125	ROY4LE	17640
126	Touched_Bread	17603
127	Hoid_the_Roamer	17500
128	Rasmanden	17387
129	fffMike	17353
130	SuperPooch06	17028
131	Groovy_MoonBird	16748
132	TheWickedBird	16716
133	elliebelle107	16703
134	hcb238	16585
135	emrekn	16551
136	SvenskaHugo	16464
137	Tersea_	16429
138	NoChumpChange	16347
139	bigstankyy	16335
140	DanTheBuilderino	16084
141	non089	15565
142	Lez_	15532
143	EdGalbraith	15030
144	Skippeh	14986
145	KarlKaek	14860
146	Spenduh	14824
147	Inbefour	14300
148	SaphLaseer	14237
149	OverallConcept	13940
150	Akoot_	13658
151	SSytex_X	13538
152	Jimi7hits	13489
153	RebytreGT	13456
154	fluddd	13159
155	DTwenty	13111
156	T045RTY	13062
157	Rumpletaezer	13014
158	emreknugrlu	13000
159	Pumpkin_P_Patch	12421
160	miramyu	12311
161	Awyrlas	12231
162	Crowman1	12174
163	wezzzi	12133
164	ExtraDumb	12069
165	Sheldor097	12007
166	ProfessorBee	11995
167	00000000-0000-0000-0009-01ff0c3e5e4f	11904
168	Kubelz	11817
169	HUNTERmaun	11745
170	RIPB0ZO	11744
