rank	username	minecraft:mined/minecraft:prismarine
1	joethahobo	13399
2	Bumpy419	9046
3	noam464	8531
4	Spacewardharpy7	8420
5	Smoke____	8226
6	lizardfightclub	8120
7	HellsSponge	7007
8	Ezekson	6840
9	PhantomsGhost_	6814
10	Zythose	6555
11	Snowflowe	5296
12	eitanzaki	5085
13	TheShyPig	4989
14	Frozil12	4792
15	I_Am_Mushkin	4381
16	MightyWertu	3937
17	diamondgolem35	3610
18	chipklip	3234
19	Hiryu27	3041
20	Blaiku	2969
21	ImpavidArcher	2933
22	Kakolbus	2894
23	Vorlice	2831
24	Legendosh	2806
25	Blu3beast	2636
26	SpookyDraggin	2471
27	PigDab	2361
28	TechnoNinja64	2300
29	Groundler	2224
30	jcool7	1546
31	DarlaMeow	1535
32	Fullut	1299
33	pintsizedrogue	1262
34	_naturell	1249
35	LittleBug562	1244
36	gcaisawesome	1156
37	beeperbeeper5	1118
38	Powowowow	1013
39	Mahoose	871
40	Notta	846
41	Lord_Jord	826
42	Maenara	825
43	voiding_	744
44	Eczbek	737
45	YungMaki	669
46	KG1999	666
47	djancak	613
48	Comma__	603
49	TheSecondLord	582
50	EcksD	543
51	Jackattack53	492
52	Merv__	472
53	Iagoku	435
54	The_slideV3	425
55	eiC_	411
56	Paintz	393
57	Incinere	388
58	NameGenerat0r	375
59	Enderslayerxz3	366
60	ratglock	365
61	AuroraValkyrie	364
62	Barlycorn	353
63	thewindmillman	335
64	Zaridey	311
65	Racengan	298
66	ooga47	276
67	Vellu21	274
68	ApophisNova	245
68	MyNamaSheff	245
70	Di_infiri	234
71	Rumpletaezer	220
72	error10101	204
72	rarrq	204
74	sebastiensaborio	196
75	claivin	194
76	SokaOtaku	191
76	EcksDofficial	191
78	kekhon	173
79	Winklepicker279	170
80	stahouo	162
81	Onennon	150
82	Akoot_	148
83	LetsDoItLive	145
84	monky_irl	144
85	livingdaydreams	143
86	Eraxa	139
87	Skippeh	136
88	MeetTheWollo	130
89	cedric72	127
90	Inbefour	126
91	BumbleBeever	121
92	loveseeker	117
93	Z3braYTIL	114
94	stavgod	108
95	12Magner05	95
96	Sral7	92
97	h2p_emrld	79
98	sandmire	76
98	obzii	76
100	TheTrueClipse	72
100	Freak_Genius	72
102	_Dean_123	68
103	lordpipe	66
104	M_Patata	65
104	MasterNueve	65
106	KarlKaek	64
106	SingedBread	64
108	fred870d	63
109	Xalithia	59
109	Covalents	59
109	TheSeismicDuck	59
112	OtariCharlie	58
113	Blackberry1310	56
113	YungJakobo	56
113	RoboTramp7865	56
113	Nicserso	56
117	John6970	55
118	PortlyPete69	54
119	Soplight	53
119	kinas45y5	53
121	Hisiste	52
122	Fildyr	49
123	33sudo	48
124	Arceus1975	47
124	Zoeyfortnite	47
126	500am	46
126	Chromary	46
128	_Karmaa	45
129	whoaluv	43
130	Drewen24	42
130	Rasmanden	42
130	oxfordschool	42
130	FelixPSY375	42
134	Awyrlas	41
135	RebelAndroid	39
136	diggydog67	34
137	Chrisdeadeye	33
137	anbbang	33
139	Cryptacity	32
140	EveryonesUncle	31
141	vandmanden	30
142	titanlax	28
143	thescout7	26
144	_TCARREIRA_	25
145	SuperPooch06	23
146	XxCookiequeenxX	22
146	radioactv_jelly	22
146	ElectricDragon81	22
149	Fast_Turtle	21
149	Dogcorn69420	21
151	NinjaKnifeKill	19
151	surfinggiraffejp	19
153	Guillemet	17
153	MilleGrug	17
155	RobotMinion101	16
156	Kowcio_	15
157	elicobnoah	14
158	Jovaphobic	13
158	Bandito_Roamer	13
158	SvenskaHugo	13
161	Drlzyy	12
161	Inchef	12
161	wezzzi	12
164	T045RTY	11
164	XboxPanda	11
164	Xclax101	11
164	jnp_gaming	11
168	dnlksl	10
168	1442	10
168	Kyrum2169	10
171	ssleepless	9
171	awesomeoneme	9
171	H72l9w	9
171	xxPipperDipperxx	9
171	SpouHn	9
171	Dusk_95	9
177	MattieHD	8
177	platinumzero	8
177	Hyp3rion_	8
177	MangoTheFish	8
177	thgrocks	8
177	Nycteus_	8
183	eviltunix	7
184	Hoid_the_Roamer	6
184	Kouridragon	6
184	natajimi	6
184	_Bguette_	6
188	Alexanderjac	5
188	SaucyDark	5
188	m_be9	5
188	ROY4LE	5
188	CollinMH06	5
188	Skomo	5
188	aec9	5
188	NomadicRobin_	5
188	fkGrim	5
188	YungWali	5
188	UrbanPlanner1978	5
188	JayToe	5
200	MSK__	4
200	NotTrixi	4
200	Fuhrer_Teemo	4
200	ItzWqlfy	4
200	__tomato	4
200	Spenduh	4
200	LeeMcGee30	4
207	Groovy_MoonBird	3
207	Ardennes	3
207	Sky_light_KING	3
207	fluddd	3
211	KingFaenor	2
211	_Frepp_	2
211	LoboTheLobster	2
211	CliffEmAll	2
211	ThePoliteG	2
211	paranoid_plant	2
211	mwrty	2
211	emrekn	2
211	mimbo1211	2
211	WET_WET_WET	2
211	Rocco_Lane	2
211	StanClubPenguin	2
211	Aezekial	2
211	TheTommyGun63	2
211	yatsuta	2
211	Fizznut909	2
211	TheOnlyRake	2
211	2blox	2
229	Paint	1
229	xXTheWolfmanXx	1
229	bigstankyy	1
229	Sabby65	1
229	_Razar	1
229	Silenttieg	1
229	jimintyy	1
229	Natty	1
229	WarHammer3	1
229	ShedJr_	1
229	Historical_Sand	1
229	oreee	1
229	aikabot	1
229	jacxhadow	1
229	Nicky_H225	1
229	StanceTB	1
229	redikul	1
229	Kkanot	1
229	set67	1
229	Scathra	1
229	Kubelz	1
229	Billious	1
229	Werbe	1
229	CruncyIsTaken	1
229	Shiirazuku	1
229	sammidk	1
229	ADEXTV	1
229	lillips	1
229	Shogunite	1
229	AssEatrAndLicker	1
229	El_Jalapeno	1
229	silverpopcorn	1
229	Warlord324	1
229	Poppy235	1
229	Moetis	1
229	CalebDHawk	1
229	Rainaldus	1
229	Quotary	1
229	HesDemonPants	1
229	trexgb	1
