rank	username	minecraft:mined/minecraft:blue_banner
1	bl1ss0	32
2	pintsizedrogue	31
2	SteveCraftBlocks	31
4	Buuck_	28
5	TheSecondLord	25
6	beeperbeeper5	22
6	Mattesco	22
8	joethahobo	21
9	Kowcio_	20
10	doublemaki	19
11	KarlKaek	15
12	Mahoose	14
13	Blackberry1310	11
13	LuvLuvLove	11
15	Lez_	10
16	Niklas20114552	9
17	Archsam	8
17	Inchef	8
17	craaaash	8
17	luseis	8
21	kekhon	7
21	MattieHD	7
21	Racengan	7
21	Soplight	7
25	cuddlyMonster	6
25	ConnorDanky_	6
25	jnp_gaming	6
28	Sleek_Storm_721	5
28	Jackattack53	5
28	hanaryheatwave	5
28	Lord_Doob	5
28	SammiWolfGirl	5
33	Merv__	4
33	Kondzik2008	4
33	CarryLine	4
33	lordpipe	4
37	eitanzaki	3
37	ShedJr_	3
37	Fullut	3
37	Onennon	3
37	WyngGoy	3
37	Eraxa	3
37	Kubeusz2010	3
37	Yamdalorian	3
45	_Virify_	2
45	Mr_Byzantine	2
45	ImpavidArcher	2
45	hm947	2
45	Hpdinosaur	2
45	HotCocoJoe	2
45	Sleepy_Evelyn	2
45	4774	2
45	r123moore	2
45	Di_infiri	2
45	burbankbuilder28	2
45	Manaateee	2
45	_flud	2
45	Blaiku	2
45	Groundler	2
45	Spacewardharpy7	2
45	Legendosh	2
45	es0th	2
63	_darky1_	1
63	teslawolf38	1
63	ECstardust	1
63	T045RTY	1
63	Historical_Sand	1
63	bloodbiter	1
63	500am	1
63	Smashic	1
63	fade_emerge78823	1
63	Marbz_	1
63	milltesco	1
63	Chromary	1
63	Hyp3rion_	1
63	Snowflowe	1
63	Rebytre	1
63	Skylord_Luke	1
63	ApophisNova	1
63	PaperCanvas	1
63	fw3xy	1
63	NomadicRobin_	1
63	DarlaMeow	1
63	HellsSponge	1
63	FreakGenius	1
63	El_Jalapeno	1
63	Xclax101	1
63	Bloo2406	1
63	StarCookiees_	1
63	SvenskaHugo	1
63	Khoaducquan1234	1
63	MC_Skribble	1
63	Dreamdbr14	1
63	Ezekson	1
63	EcksD	1
63	MyNamaSheff	1
63	Jimb0nat0r	1
