rank	username	minecraft:mined/minecraft:purple_wall_banner
1	Lez_	26
2	lordpipe	24
3	Mattesco	19
3	_i_ERROR_i_	19
5	Merv__	16
5	beeperbeeper5	16
7	Apollo_993	12
8	Ssor69	10
8	SteveCraftBlocks	10
8	Soplight	10
11	Mr_Byzantine	9
12	k_ce	8
12	pixelviolin	8
14	Touched_Bread	7
14	TheShyPig	7
16	Enderxz3	6
17	Huwulling	5
17	thewindmillman	5
17	Kowcio_	5
17	Pumpkin_P_Patch	5
17	LuvLuvLove	5
22	luseis	4
23	Groovy_MoonBird	3
23	Froste131	3
23	Werbe	3
23	gustarlep	3
23	Deerfoot	3
23	robonya_	3
29	Sleepy_Time_	2
29	MattieHD	2
29	craaaash	2
29	MyNameIsJobo	2
29	Zeezap	2
34	pintsizedrogue	1
34	PazinGaming	1
34	Sleek_Storm_721	1
34	SaucyDark	1
34	RatatJuice	1
34	Archsam	1
34	Blackberry1310	1
34	lpinfinity	1
34	noam464	1
34	hanaryheatwave	1
34	ScootOfBoot	1
34	NomadicRobin_	1
34	Manaateee	1
34	thatsjustfrankie	1
34	TheKingK_	1
34	Luigipunch989	1
34	SpacesickPrism	1
34	ZoomieZoomie	1
34	00000000-0000-0000-0009-01f3e0064b49	1
