rank	username	minecraft:mined/minecraft:heavy_core
1	MyMawgDonaldsGon	19
2	00000000-0000-0000-0009-01fe065167f0	6
3	Yamdalorian	4
4	lordpipe	3
5	thewindmillman	2
5	oscminus	2
7	CLG_Kata	1
