rank	username	minecraft:mined/minecraft:waxed_exposed_cut_copper_slab
1	Mattesco	15
2	hanaryheatwave	10
3	MattieHD	7
4	XxCookiequeenxX	4
5	EMC_	3
5	skroobiez	3
5	luseis	3
8	Merv__	1
8	Jimb0nat0r	1
