rank	username	minecraft:mined/minecraft:smooth_quartz
1	lordpipe	3179
2	Ezekson	2764
3	noam464	2495
4	Di_infiri	1693
5	cedric72	1612
6	EcksDofficial	1561
7	himak1	1414
8	Freak_Genius	1399
9	Deerfoot	1083
10	Blaiku	751
11	pintsizedrogue	654
12	UltraZombie	591
13	Lord_Jord	517
14	Mahoose	452
15	EveryonesUncle	358
16	Snowflowe	352
17	AltnumberF4	325
18	Chromary	321
19	ImpavidArcher	310
20	fluddd	300
21	beeperbeeper5	299
22	Frozil12	291
23	Eczbek	287
24	NameGenerat0r	250
25	kekhon	246
26	KarlKaek	219
27	m_be9	213
28	eitanzaki	191
29	Akoot_	189
30	jnp_gaming	187
31	lillips	154
32	Eraxa	150
33	Sral7	146
34	NotMeanttoChange	140
35	ApophisNova	131
35	MyNamaSheff	131
37	Spenduh	120
38	TheSecondLord	106
39	Blackberry1310	86
40	Merv__	85
40	mobunni	85
42	MakeHistory157	82
43	Kubeusz2010	74
44	LexMakesHistory	73
44	_Karmaa	73
44	TheTommyGun63	73
47	500am	64
48	NomadicRobin_	59
49	joethahobo	53
49	EfficientC52	53
51	Nekomin0	49
52	Arceus1975	48
52	YungMaki	48
54	Cowison	46
55	MightyWertu	42
56	_Dean_123	41
57	hm947	31
58	RodSerlingCringe	27
59	fffMike	25
60	oxfordschool	20
61	Rocco_Lane	18
62	Hpdinosaur	17
62	Spacewardharpy7	17
62	obzii	17
62	Smoke____	17
66	Hyp3rion_	16
66	stavgod	16
68	SammiWolfGirl	15
68	PlasticOtari	15
70	paranoid_plant	14
70	MAns_44	14
72	SuperPooch06	12
72	FishyBoy3811	12
72	Soplight	12
75	Incinere	8
75	pr33tu	8
75	egglapras	8
75	PigDab	8
79	Fullut	7
79	_Boipl_	7
79	Blu3beast	7
79	Optiprimus	7
83	CalebDHawk	6
84	r123moore	5
84	TechnoNinja64	5
84	kinas45y5	5
87	Gundam_Steven	4
87	M_Patata	4
87	thewindmillman	4
87	Zythose	4
87	Nycteus_	4
87	MasterNueve	4
93	AuroraValkyrie	3
93	YungJakobo	3
93	Truckoss	3
93	stahouo	3
93	EcksD	3
98	Werbe	2
98	RohnJosin	2
98	lizardfightclub	2
98	The_slideV3	2
98	AssEatrAndLicker	2
98	Racengan	2
98	SingedBread	2
98	TheEnderman548	2
98	KG1999	2
98	_3Stump_	2
98	Enderslayerxz3	2
109	PhantomsGhost_	1
109	ColeSnyder	1
109	awesomeoneme	1
109	ShedJr_	1
109	Myszoaz	1
109	Historical_Sand	1
109	Swexti	1
109	xxPipperDipperxx	1
109	theonlymagikarp	1
109	08061945	1
109	MyNameIsJobo	1
109	AJplaysMC_	1
109	DebbieBrunswick	1
109	ooga47	1
109	BRRRN179	1
109	dezxalo	1
109	yulgur1	1
109	Inbefour	1
109	Syropatathe	1
109	TrustStein	1
109	Quotary	1
109	Zoeyfortnite	1
109	h2p_emrld	1
