rank	username	minecraft:mined/minecraft:white_candle
1	Hyp3rion_	135
2	Manaateee	30
3	Apollo_993	29
4	NATE_the_HALO	25
4	TheBananaKat	25
6	TheSecondLord	20
7	Arceus1975	12
8	_Nat666	8
9	Krowuss	7
10	pintsizedrogue	6
10	ImpavidArcher	6
10	oscminus	6
10	luseis	6
10	StinkyDiplomat	6
15	EMC_	5
15	11Brewer	5
17	DinoDoctor_	4
18	fragrantmonke444	3
19	k_ce	2
19	Merv__	2
19	Mattesco	2
19	pretty_pink_reno	2
19	skitzxo	2
24	Da_Boss_Rani	1
24	Di_infiri	1
24	thewindmillman	1
24	Wowful	1
24	Kowcio_	1
24	YungMaki	1
