rank	username	minecraft:mined/minecraft:calcite
1	thewindmillman	43211
2	pintsizedrogue	18924
3	Hyp3rion_	12918
4	EMC_	8478
5	calamariclam_I	3873
6	500am	3628
7	TheSecondLord	3037
8	corvidpartyfor6	2635
9	Enderslayerxz3	2630
10	Mahoose	2562
11	SingedBread	2275
12	rarrq	2260
13	lordpipe	2000
14	Jiminie	1819
15	MilleGrug	1706
16	Smoke____	1659
17	Miko_Fullbuster	1524
18	Smashic	1430
19	RebelAndroid	1410
20	Steelynan	1385
21	Frozil20	1383
22	beeperbeeper5	1332
23	Hermanni__	1250
24	Rebytre	1042
25	diamondgolem35	1037
26	Kowcio_	1018
27	mihimihimihi	1000
28	Legendosh	990
29	Ryker	985
30	MAns_44	983
31	Snowflowe	833
32	PlasticOtari	811
33	noam464	807
34	ApophisNova	759
34	MyNamaSheff	759
36	YungMaki	755
37	MinttyFressh	729
38	dartwaffle	704
39	Mr_Byzantine	691
40	Flores991	678
41	SpacesickPrism	675
42	Marbz_	575
43	starbits140	540
44	Deathkob	537
45	Drlzyy	490
46	AlexxO_o	426
47	gcaisawesome	414
48	smogfrog	402
49	Huwulling	383
50	Spacewardharpy7	372
51	eitanzaki	364
51	Kubelz	364
53	Silvo614	362
54	_Karmaa	361
55	Xalithia	348
55	Soplight	348
57	prizm_	323
58	Kkanot	309
59	mobunni	306
60	12Magner05	304
61	Yahir091	298
62	Steven1282598	294
63	Touched_Bread	257
64	Jimi7hits	249
65	ImpavidArcher	244
66	wwwwinnebagoooo	215
67	RoskobiOne	214
67	MSK__	214
69	Njensen7	213
70	RatatJuice	208
71	ShedJr_	207
72	xPixelRainx	206
73	Lutres_Torane	192
73	SvenskaHugo	192
75	Winklepicker279	190
76	_Boipl_	175
77	hm947	167
77	The_Fulgurator	167
77	00000000-0000-0000-0009-01ff0c3e5e4f	167
80	PigDab	162
80	EngagedGrub41	162
82	microcrisp	155
83	Inchef	152
84	Killercatty78	149
85	Segotep999	144
86	CharlieButt	137
87	itburb	133
88	iSammael	132
89	Myszoaz	129
90	GlitchyPlate810	124
91	Sheldor097	123
92	Spenduh	120
93	Prismyst	115
94	tsitrawhy	106
95	MrKrabOnCoke	101
96	Alteriity	100
96	RadarHz	100
98	fade_emerge78823	96
99	Masssonnn	95
99	Dan_Scha	95
101	NieToksikpl	93
102	lillips	88
103	Moofyman	86
104	groofles	84
104	WYFYoyo	84
106	Sleepy_Time_	83
106	masskedman	83
108	KGTV	77
108	ZoomieZoomie	77
110	Fuad_R	73
111	TheDankPlatypus	72
112	Wowful	70
113	Kakolbus	67
114	StinkyDiplomat	66
115	sylvstarr	61
116	Skippeh	57
117	SpaggeDR	56
118	NomadicRobin_	54
119	ItsDeltaMC	46
119	NATE_the_HALO	46
121	_Huge_Male_	40
122	2blox	39
123	PazinGaming	38
124	Weepingbiel	36
125	SyntheticSurgeon	34
125	00000000-0000-0000-0009-01fbab7ea71d	34
127	smarticuno	31
128	pixelviolin	30
128	00000000-0000-0000-0009-01f898304150	30
130	Lord_Zacler	28
131	BINKENSTOCK	27
132	TerraVl	26
133	TheOuterCore	25
134	ZeroAbyssTTV	24
134	IdeallyGrey	24
136	non089	23
137	CollinMH06	22
137	SuperPooch06	22
139	Mookle96	21
139	LeauVox4921	21
139	HolyVenom	21
142	Jonafrog99	18
143	joethahobo	17
144	Crowman1	15
145	AuroraSkies	14
145	fluddd	14
147	Da_Boss_Rani	13
147	DarkS0L	13
149	ccwildfire1	12
149	Valoth	12
149	Chickenchaser2	12
149	egglapras	12
149	athereall	12
149	coobert42	12
155	Khelvoryk	11
155	Jeteight	11
155	yulgur1	11
155	EveryonesUncle	11
155	NameGenerat0r	11
155	LazySupport00	11
161	ToastedGamingYT	10
161	EcksD	10
161	Jimb0nat0r	10
164	Jonte0599	9
164	shrimp_flips	9
166	tuckerdoodle	8
166	TAKrules	8
166	PortlyPete69	8
169	_stets	6
169	XLIFluid	6
169	Jackattack53	6
169	JitteryJared2	6
169	fw3xywashere	6
174	Solar_Power	5
174	binman420	5
174	Not_Insom	5
177	Merv__	4
177	ZaneABrain	4
177	Rexorout	4
180	strongman951753	3
180	Lez_	3
180	Blackberry1310	3
180	SteveCraftBlocks	3
180	CyrusIsTired	3
180	Ghemmah	3
180	Nycteus_	3
180	Human_Resource	3
180	TheEnderman548	3
189	JuuustYeet	2
189	Auseawesome	2
189	breadbowlgamer	2
189	Leonidas2k17	2
189	WeebleSock	2
189	Xi_J1nping	2
189	CattSoup	2
196	r123moore	1
196	Billious	1
196	CruncyIsTaken	1
196	lizardfightclub	1
196	H_O_M_H	1
196	3ce60713-c405-4bff-83bf-c5c7ae3ee0fe	1
196	Toriankel	1
196	Eczbek	1
