rank	username	minecraft:mined/minecraft:anvil
1	PlasticOtari	463
2	mihimihimihi	278
3	YungMaki	254
4	Mahoose	204
5	noam464	146
6	kekhon	138
7	rarrq	134
8	eitanzaki	125
9	Hyp3rion_	113
10	Groundler	104
11	pintsizedrogue	101
12	beeperbeeper5	84
13	jnp_gaming	82
14	ImpavidArcher	70
14	FreakGenius	70
16	ROY4LE	66
17	Historical_Sand	65
18	Smoke____	64
19	thescout7	61
20	lillips	53
21	HellsSponge	51
22	mwrty	49
23	Blackberry1310	43
23	500am	43
25	Awyrlas	41
26	luseis	40
27	NameGenerat0r	39
28	GlitchyPlate810	38
29	Racengan	37
30	RoofTyler	36
31	Lez_	33
31	Kowcio_	33
33	Frozil20	32
34	Chromary	31
35	Eczbek	28
36	lordpipe	27
36	EcksD	27
38	thewindmillman	26
38	TheShyPig	26
40	Onennon	25
41	MangoTheFish	24
41	Blaiku	24
43	Akoot_	23
44	Enderxz3	22
45	Di_infiri	21
46	PhantomsGhost_	20
46	12Magner05	20
46	NomadicRobin_	20
46	Eraxa	20
46	Mythic1130	20
51	Merv__	19
51	joethahobo	19
51	MattieHD	19
51	RealGroot	19
55	xzvu	18
56	Earlesstrain4	17
57	XboxPanda	16
57	fffMike	16
57	laron58	16
57	TechnoNinja64	16
61	TheSecondLord	15
61	Soplight	15
61	bladeefan2009	15
64	teslawolf38	14
64	EMC_	14
64	set67	14
64	Jackattack53	14
64	Inbefour	14
69	Snowflowe	13
69	weabis	13
69	lcvezra	13
69	Ezekson	13
73	FazeObama69	12
73	SmashingPump	12
73	H72l9w	12
73	sammidk	12
73	xDraggin	12
78	Cowison	11
78	Fullut	11
78	TheWildMateo	11
78	Lutres_Torane	11
78	claivin	11
78	Blu3beast	11
78	gusstationwerker	11
78	Kubeusz2010	11
78	ConnorDanky_	11
87	SaucyDark	10
87	Incinere	10
87	gcaisawesome	10
87	Nycteus_	10
87	MakeHistory157	10
92	Jovaphobic	9
92	Groovy_MoonBird	9
92	Tommhh	9
92	Rebytre	9
92	PigDab	9
92	Meatlaugh	9
92	MovingFish7	9
92	stavgod	9
92	Legendosh	9
101	Inchef	8
101	__TheNorseMan__	8
101	legal_tax_evader	8
101	gabriels543	8
101	ApophisNova	8
101	Werbe	8
101	El_Jalapeno	8
101	Spacewardharpy7	8
101	Steelynan	8
101	Skippeh	8
101	MyNamaSheff	8
112	_Virify_	7
112	Esme_1	7
112	Wooptey	7
112	Smashic	7
112	surfinggiraffejp	7
112	fr_ser	7
112	LilyNova	7
112	F_Uhre	7
112	IamCL4SSY	7
112	DarlaMeow	7
112	GoofySilly	7
112	SSytex_X	7
112	amkold	7
125	ZaneABrain	6
125	ThiccExotic	6
125	m_be9	6
125	Touched_Bread	6
125	drunkeeez	6
125	Marbz_	6
125	Arceus1975	6
125	Bumpy419	6
125	Skylord_Luke	6
125	FishyBoy3811	6
125	SaintJosie	6
125	Lord_Jord	6
125	_Bguette_	6
125	DarkS0L	6
125	censorsheep	6
125	fluddd	6
125	MightyWertu	6
125	Warlord324	6
125	iSammael	6
125	WyngGoy	6
125	sp00ky_ghost977	6
125	obzii	6
125	Hermanni__	6
125	TheOnlyRake	6
125	HesDemonPants	6
125	vandmanden	6
151	maxdacatv2	5
151	SpaceGrenadier	5
151	fr0stss	5
151	Swexti	5
151	Sleepy_Time_	5
151	eclipseboi	5
151	Cambo5000	5
151	2Stout	5
151	r123moore	5
151	TheDankPlatypus	5
151	Rumpletaezer	5
151	CrateOfBoxes	5
151	RobotMinion101	5
151	HyperCave	5
151	AlphaWolfPlaysMC	5
151	binman420	5
151	Tyrannosplart	5
151	FlashMigma	5
151	33sudo	5
151	TheEnderMan548	5
151	PortlyPete69	5
151	UltraZombie	5
151	Nicserso	5
174	Bandito_Roamer	4
174	Apollo_993	4
174	Hpdinosaur	4
174	Flores991	4
174	tuckerdoodle	4
174	RebelAndroid	4
174	WarHammer3	4
174	Huwulling	4
174	Frxnkz	4
174	jacxhadow	4
174	Jakobo1337	4
174	MinttyFressh	4
174	Megarboh	4
174	BilboBaggins23	4
174	Kamflame10	4
174	Mewar	4
174	xxPipperDipperxx	4
174	hcb238	4
174	Karetoko	4
174	SuperPooch06	4
174	Truckoss	4
174	epiksk8erduck	4
174	ChrisKyleST3	4
174	TheTrueClipse	4
174	EveryonesUncle	4
174	Deodorante	4
174	Deathkob	4
174	balin55	4
174	Fuad_R	4
174	Lifedy	4
174	ItzWqlfy	4
174	BumbleBeever	4
174	silverpopcorn	4
174	Hisiste	4
174	Kyrum2169	4
174	starbits140	4
174	CalebDHawk	4
174	jcool7	4
174	ZeroKraken	4
174	RadarHz	4
174	2bolx_	4
174	The_SlideV5	4
216	H0UNDFRMH3LL	3
216	Mr_Byzantine	3
216	6king6colt6	3
216	KarlKaek	3
216	gren_ben	3
216	_Razaria	3
216	CoffeeNoir	3
216	MOSS000	3
216	ITDV	3
216	gaziter10	3
216	Mercadies	3
216	ratglock	3
216	Cryptacity	3
216	Comma__	3
216	Secret_Canary	3
216	_Dean_123	3
216	redikul	3
216	Z3braYTIL	3
216	Flapjacker687	3
216	TheHarryMeister	3
216	Xalithia	3
216	Septemb3r	3
216	Diavri	3
216	RIPB0ZO	3
216	Kakolbus	3
216	Freeman666	3
216	King_Pancake1	3
216	LAVA129	3
216	impossibleteapot	3
216	RyuNeko932000	3
216	pappaberg	3
216	iTurbo	3
216	Corbsman	3
216	groofles	3
216	wezzzi	3
216	masskedman	3
216	fkGrim	3
216	handsome_strong	3
216	GoofyBread	3
216	MyNameIsDakar	3
216	The_slideV3	3
216	NotMeowMix	3
216	Factoroni	3
216	OG_Songsee	3
216	Cocoamallows	3
216	layabout100	3
216	SammiWolfGirl	3
216	Luigipunch989	3
216	mawileite	3
216	cichy096	3
216	00000000-0000-0000-0009-01ff0c3e5e4f	3
267	MunkaKris	2
267	Lepthymo	2
267	MuffinManzz	2
267	JohnnyFyes	2
267	CadenSteele	2
267	Paint	2
267	Ze1ig	2
267	lewieinnit	2
267	Yatitay	2
267	ImNotYuqii	2
267	I_Am_Mushkin	2
267	xXTheWolfmanXx	2
267	Gemstuff	2
267	diamondgolem35	2
267	bigstankyy	2
267	chrolus	2
267	LeDuctTape	2
267	hm947	2
267	Firecracker320	2
267	Zippyzam	2
267	jimintyy	2
267	Alteriity	2
267	_Frepp_	2
267	Arteriana	2
267	Fractured_	2
267	Da_Boss_Rani	2
267	Alphanzt99	2
267	TheFlfthHorseman	2
267	Euclidoris	2
267	picardred	2
267	Malorn_Aetherius	2
267	SDMNAEK	2
267	bloodbiter	2
267	ProfessorBee	2
