rank	username	minecraft:mined/minecraft:black_concrete_powder
1	EveryonesUncle	7491
2	Mahoose	1998
3	PigDab	857
4	Mattesco	560
5	LordSpeed37	496
6	beeperbeeper5	486
7	k_ce	435
8	joethahobo	362
9	noam464	350
10	teslawolf38	299
11	CollinMH06	238
12	xxPipperDipperxx	187
13	SolarKar	134
14	1442	130
15	taengoos	113
16	The_SlideV5	92
17	h2p_emrld	90
18	Blackberry1310	82
19	TheSecondLord	81
20	00000000-0000-0000-0009-01fe065167f0	78
21	seramalen	77
22	Blammm	73
23	QuiCreans	71
24	SkateboardR6	69
25	500am	68
25	lordpipe	68
27	eitanzaki	62
28	Spacewardharpy7	55
29	AnnieBathory	50
30	Yamdalorian	46
31	jnp_gaming	44
32	Fullut	40
32	PlasticOtari	40
34	kekhon	37
35	_flud	36
36	emreknugrlu	35
36	_Karmaa	35
38	pintsizedrogue	34
39	Werbe	30
40	doublemaki	29
41	ConnorDanky_	28
42	HellsSponge	27
42	SvenskaHugo	27
42	Nicserso	27
45	Akoot_	25
46	PazinGaming	24
47	diamondgolem35	19
48	OreTheBear	18
48	MilleGrug	18
50	thescout7	16
50	pixelviolin	16
52	Jokerman369	15
53	TheBiggestFeller	14
53	Mr_Byzantine	14
53	Lez_	14
53	Cache3	14
57	Enderxz3	13
58	r123moore	12
58	fr_ser	12
60	emrekn	11
60	starbits140	11
62	_Huge_Male_	10
62	Kamflame	10
62	Deathkob	10
62	El_Jalapeno	10
62	ElectricDragon81	10
62	Pumpkin_P_Patch	10
68	Kowcio_	9
69	I_Am_Mushkin	8
69	himak1	8
69	burbankbuilder28	8
69	Leyna3	8
69	The_slideV3	8
69	NameGenerat0r	8
69	SingedBread	8
76	Merv__	7
76	bl1ss0	7
76	mihimihimihi	7
79	valkam13	6
79	Manaateee	6
79	Racengan	6
79	lunkuku	6
79	TheEnderMan548	6
79	PortlyPete69	6
79	Iamthejo	6
86	RoskobiOne	5
86	ECstardust	5
86	BlancoFlaco	5
86	skroobiez	5
86	royal_2	5
86	BobDeBouwer1337	5
86	ROY4LE	5
86	M_Patata	5
86	luseis	5
86	MasterNueve	5
96	Niklas20114552	4
96	rarrq	4
96	Secret_Canary	4
96	Di_infiri	4
96	milltesco	4
96	AJplaysMC_	4
96	Krowuss	4
96	Onennon	4
96	Truckoss	4
96	Elastiq	4
96	audiocracked	4
96	Tyrannosplart	4
96	Eraxa	4
96	Sheldor097	4
96	Powowowow	4
111	Archsam	3
111	The11thDoctor	3
111	RedcatVII	3
111	WyngGoy	3
111	Segotep999	3
111	TechnoNinja64	3
111	Jimb0nat0r	3
118	Tobinator_007	2
118	Elprone266	2
118	robertsnose	2
118	Iagoku	2
118	Tolhart	2
118	Absova	2
118	titanlax	2
118	Motsaro	2
118	craaaash	2
118	thewindmillman	2
118	Snowflowe	2
118	oscminus	2
118	cedric72	2
118	TheShyPig	2
118	ogoa	2
118	ese_wn_po	2
118	claivin	2
118	FreakGenius	2
118	iSammael	2
118	MakeHistory157	2
118	Optiprimus	2
118	TheKingK_	2
118	Spenduh	2
118	robonya_	2
118	Skippeh	2
118	EcksD	2
144	xXTheWolfmanXx	1
144	bigstankyy	1
144	Alteriity	1
144	CoffeeNoir	1
144	Huwulling	1
144	Kronos42	1
144	Crowman1	1
144	MattieHD	1
144	Inchef	1
144	Xalithia	1
144	theonlymagikarp	1
144	TheDankPlatypus	1
144	Jackattack53	1
144	SuperPooch06	1
144	hanaryheatwave	1
144	Arceus1975	1
144	Rebytre	1
144	Chrisdeadeye	1
144	ooga47	1
144	KartivGal	1
144	Kynigito	1
144	epiksk8erduck	1
144	GoofyBread	1
144	blackeemperor	1
144	cuddlyMonster	1
144	Blaiku	1
144	__tomato	1
144	SSytex_X	1
144	Njensen7	1
144	Legendosh	1
144	LuvLuvLove	1
