rank	username	minecraft:mined/minecraft:quartz_bricks
1	Lord_Jord	1463
2	Smoke____	1370
3	RebelAndroid	939
4	fade_emerge78823	671
5	beeperbeeper5	519
6	paranoid_plant	504
7	Freak_Genius	444
8	0nly_sn1per	441
9	NomadicRobin_	377
10	Dusk_95	333
11	Ezekson	328
12	SingedBread	326
13	himak1	310
14	EcksD	208
15	Lutres_Torane	196
16	Mahoose	175
17	eitanzaki	171
18	ChosenBruh	164
19	noodlepack	160
19	BugsDaBunny	160
21	SammiWolfGirl	151
22	MeetTheWollo	143
23	Fuad_R	139
24	Snowflowe	133
25	Blackberry1310	131
26	Winklepicker279	123
27	Whiterooster001	104
28	BobDeBouwer1337	102
29	xxPipperDipperxx	98
30	Nycteus_	90
31	PlasticOtari	88
32	set67	85
33	EveryonesUncle	83
34	lordpipe	68
35	Frozil20	65
36	kekhon	60
37	Akoot_	59
38	Spacewardharpy7	53
38	jcool7	53
40	KarlKaek	52
41	SkateboardR6	50
42	FishyBoy3811	48
43	MSK__	46
44	joethahobo	42
45	Optiprimus	39
45	EcksDofficial	39
47	Cowison	38
48	Lez_	37
49	Rocco_Lane	36
50	Marbz_	35
51	Jonafrog99	34
52	Hyp3rion_	33
53	TheSecondLord	31
54	mobunni	27
55	Quotary	26
56	rarrq	24
57	LoboTheLobster	23
58	wwwwinnebagoooo	18
58	Steelynan	18
60	ImpavidArcher	17
60	Segotep999	17
62	Awyrlas	15
62	noam464	15
62	Chromary	15
65	PigDab	14
66	Inchef	13
67	pintsizedrogue	12
67	MAns_44	12
67	Kubeusz2010	12
70	Myszoaz	11
70	burbankbuilder28	11
72	Wooptey	10
72	Spenduh	10
74	Historical_Sand	9
75	CoffeeNoir	8
75	thescout7	8
75	CruncyIsTaken	8
75	Nicky19	8
75	Blaiku	8
75	YungMaki	8
75	Enderslayerxz3	8
75	trexgb	8
83	Smashic	7
83	Z3braYTIL	7
83	ApophisNova	7
83	Wowful	7
83	lillips	7
83	Hermanni__	7
83	MyNamaSheff	7
90	Hpdinosaur	6
90	Jackattack53	6
90	fw3xywashere	6
90	TheEnderman548	6
90	MilleGrug	6
90	Eczbek	6
96	Merv__	5
96	WarHammer3	5
96	ShedJr_	5
96	bloodbiter	5
96	CaptainBadKid	5
96	Di_infiri	5
96	Rebytre	5
96	HAIRYCLOUD626	5
96	Mattesco	5
96	HesDemonPants	5
106	JohnnyFyes	4
106	soundad	4
106	mimbo1211	4
106	Moofyman	4
106	Gmoney390	4
106	Syropatathe	4
106	claivin	4
106	00000000-0000-0000-0009-01ff0c3e5e4f	4
114	Dedalus36	3
114	Huwulling	3
114	12Magner05	3
114	egglapras	3
114	ROY4LE	3
114	xambsam	3
114	thewindmillman	3
114	LAVA129	3
114	AlexxO_o	3
114	binman420	3
114	Steven1282598	3
114	Racengan	3
114	TheTommyGun63	3
114	Kowcio_	3
114	Soplight	3
114	tartanboy	3
130	Menthas	2
130	Yatitay	2
130	SpaceGrenadier	2
130	_Dean_123	2
130	500am	2
130	Mookle96	2
130	SBean737	2
130	pappaberg	2
130	KartivGal	2
130	TJawesome09	2
130	Mr_Gulle	2
130	SlinkyPinky	2
130	ThatMan_Dave	2
130	fluddd	2
130	monky_irl	2
130	Eraxa	2
130	pixelviolin	2
130	SpacesickPrism	2
130	obzii	2
130	UltraZombie	2
130	Aryamanee	2
151	Drlzyy	1
151	teslawolf38	1
151	q_wq	1
151	EMC_	1
151	IronArshXS	1
151	Gundam_Steven	1
151	SyntheticSurgeon	1
151	ZaneABrain	1
151	Axel_Foley	1
151	CliffEmAll	1
151	Chickenchaser2	1
151	jiggywraps	1
151	MattieHD	1
151	rpmm	1
151	Lumien_	1
151	Xalithia	1
151	gcaisawesome	1
151	Yuvl	1
151	Kakolbus	1
151	Zythose	1
151	_Boipl_	1
151	BronkerBrum	1
151	SlothInASuit	1
151	TheWildMateo	1
151	Loraxonlyfans	1
151	Luminad3	1
151	masskedman	1
151	Jiminie	1
151	Deathkob	1
151	jake314810	1
151	GlitchMixed	1
151	HellsSponge	1
151	censorsheep	1
151	moolerbooler2	1
151	Jahbouris	1
151	Ze_BaronKrigler	1
151	WingedTortoise	1
151	KG1999	1
151	UCP_TheKingK	1
151	djancak	1
151	__tomato	1
151	brofrickcheaters	1
151	Luigipunch989	1
151	Poppy235	1
151	88Hazza88	1
151	oxfordschool	1
151	Legendosh	1
151	jnp_gaming	1
151	PA_Tech_Gaming	1
151	kinas45y5	1
151	FishisTTV	1
