rank	username	minecraft:mined/minecraft:deepslate_tile_wall
1	Mattesco	477
2	thewindmillman	464
3	00000000-0000-0000-0009-01ff0c3e5e4f	447
4	Jackattack53	306
5	k_ce	283
6	500am	259
7	TheSecondLord	248
8	Yamdalorian	182
9	Sleepy_Evelyn	174
10	Ezekson	139
11	RoskobiOne	124
12	myaccountwasgone	107
13	RebelAndroid	92
14	beeperbeeper5	80
15	Buuck_	71
16	Apollo_993	60
17	ImpavidArcher	57
18	pintsizedrogue	50
19	Pineapplesugr	42
20	Mr_Byzantine	39
21	12Magner05	34
22	Nicserso	29
23	iSammael	24
24	ItsDeltaMC	23
25	Kowcio_	20
26	Steelynan	19
27	Hyp3rion_	18
28	HUNTERmaun	17
29	_witch_craft_	16
29	ZoomieZoomie	16
31	EMC_	14
31	U_Mos_	14
33	Jimb0nat0r	12
34	Megarboh	11
35	Smashic	10
35	benediktine1	10
35	groofles	10
35	TheBananaKat	10
39	Dakar_	8
40	TAKrules	7
40	rarrq	7
40	fade_emerge78823	7
40	Legendosh	7
40	TheWickedBird	7
45	Napoleonpancake	6
45	PazinGaming	6
45	Admiral_Fizzy	6
48	Galactic_Badger	5
48	SpacesickPrism	5
50	Kakolbus	4
50	mobunni	4
52	crashomon	3
52	Mr_Sun15	3
52	Manaateee	3
52	mihimihimihi	3
52	Ma_name_alex	3
52	SvenskaHugo	3
58	joethahobo	2
58	philandr	2
58	bl1ss0	2
58	Spacewardharpy7	2
58	Pumpkin_P_Patch	2
58	Soplight	2
64	N00bula	1
64	diamondgolem35	1
64	Mahoose	1
64	MrKrabOnCoke	1
64	hanaryheatwave	1
64	Arceus1975	1
64	Solar_Power	1
64	Krowuss	1
64	Hahaa_0	1
64	Segotep999	1
64	CalebDHawk	1
64	skitzxo	1
