rank	username	minecraft:mined/minecraft:oak_log
1	Blackberry1310	35985
2	Legendosh	21471
3	EveryonesUncle	20759
4	joethahobo	14723
5	luseis	13975
6	Skylord_Luke	13724
7	AdmiralSmoke	13450
8	Mr_Byzantine	12837
9	Di_infiri	11879
10	rarrq	11835
11	HellsSponge	11427
12	CoffeeNoir	11062
13	m_be9	10613
14	TheShyPig	10058
15	beeperbeeper5	9966
16	Snowflowe	9677
17	j5ylim	9638
18	PazinGaming	9118
19	Mahoose	8791
20	El_Jalapeno	8341
21	Jonafrog99	8048
22	lordpipe	7880
23	Onennon	7638
24	FreakGenius	7622
25	NomadicRobin_	7566
26	noam464	7389
27	Frozil20	7127
28	Spacewardharpy7	6918
29	Werbe	6840
30	YungMaki	6416
31	Racengan	6330
32	EMC_	6294
33	oscminus	6156
34	gcaisawesome	5917
35	Kakolbus	5750
36	LordSpeed37	5618
37	Z3braYTIL	5309
38	TheThomas69	5144
39	Quotary	5122
40	eitanzaki	5116
41	Hermanni__	5065
42	Dogcorn69420	5027
43	Bumpy419	5000
44	Kowcio_	4892
45	Winklepicker279	4860
46	_Dean_123	4835
47	MyNameIsJobo	4794
48	_Virify_	4757
49	Enderxz3	4673
50	2Stout	4638
51	anbbang	4413
52	_Karmaa	4369
53	Lord_Jord	4296
54	CharlieButt	4287
55	pintsizedrogue	4164
56	PlasticOtari	4116
57	ApophisNova	4035
58	MyNamaSheff	4029
59	Crowman1	4015
60	yulgur1	3847
61	set67	3699
62	ROY4LE	3687
63	burbankbuilder28	3571
64	SpacesickPrism	3565
65	PhantomsGhost_	3494
66	PigDab	3488
67	Kouridragon	3463
68	LeauVox4921	3399
69	Hisiste	3361
70	Mewar	3217
71	Iamthejo	3210
72	Merv__	3159
73	Segotep999	3104
74	Jackattack53	3096
75	500am	3087
76	UCP_TheKingK	3086
77	Malorn_Aetherius	3037
78	Inchef	3028
79	Hahaa_0	3009
80	PlzNoBM	2931
81	Huwulling	2926
82	TheSeismicDuck	2863
83	Fildyr	2849
84	calamariclam_I	2832
85	XboxPanda	2795
86	hcb238	2776
87	RebelAndroid	2772
88	TechnoNinja64	2736
89	Truckoss	2714
89	Warlord324	2714
91	Jimb0nat0r	2701
92	mihimihimihi	2689
93	excelsionprime	2675
94	Akoot_	2669
95	eiC_	2665
96	Steelynan	2655
97	bloodbiter	2636
98	__tomato	2600
99	Cowison	2594
100	KingMatthew506	2553
100	EcksD	2553
102	ConnorDanky_	2530
103	Heisenbberrg	2527
104	ProfessorBee	2510
105	Cocoamallows	2489
106	MoistMicrowave	2488
107	PortlyPete69	2465
108	shineh10	2463
109	SvenskaHugo	2433
110	vandmanden	2385
111	Mattesco	2372
112	Inbefour	2321
113	Ezekson	2319
114	Xclax101	2249
115	RyuNeko932000	2205
116	Manaateee	2203
117	Darkgon	2195
118	oreee	2186
119	crying_wolf_13	2185
120	Nicserso	2151
121	MightyWertu	2149
122	6king6colt6	2145
123	WyngGoy	2124
124	wwwwinnebagoooo	2115
125	MAns_44	2102
126	DanTheBuilderino	2094
127	TheSecondLord	2086
128	thescout7	2079
129	CollinMH06	2058
130	Smashic	2034
131	ShedJr_	2015
132	Blaiku	2005
133	Reneedium	2004
134	F_Uhre	1999
135	301851	1971
136	NatalieTW	1953
137	Hyp3rion_	1948
138	AstreaTSS	1921
139	hanaryheatwave	1918
140	BumbleBeever	1835
141	non089	1805
