rank	username	minecraft:mined/minecraft:birch_wall_sign
1	Lez_	559
2	TheShyPig	338
3	Ezekson	242
4	joethahobo	238
5	beeperbeeper5	216
6	kekhon	201
7	Legendosh	186
8	Snowflowe	174
8	lordpipe	174
10	Werbe	172
11	cedric72	153
12	teslawolf38	152
13	_Dean_123	147
14	xzvu	136
15	Njensen7	128
16	Smoke____	126
17	YungMaki	124
18	noam464	122
19	Soplight	119
20	TheSecondLord	108
21	thewindmillman	107
22	jnp_gaming	104
23	Eczbek	101
24	Merv__	98
25	Di_infiri	96
26	FreakGenius	95
27	Inbefour	88
28	thescout7	86
29	Mahoose	85
30	eitanzaki	82
31	ShedJr_	80
32	SammiWolfGirl	78
33	ConnorDanky_	75
34	himak1	74
34	vandmanden	74
36	HellsSponge	72
37	IAmTheWalrus910	71
38	MangoTheFish	68
39	Esme_1	65
40	Tyrannosplart	62
41	Akoot_	61
42	Blaiku	58
42	fffMike	58
44	pintsizedrogue	55
44	Fullut	55
46	Enderxz3	53
47	cichy096	51
48	Groundler	49
49	Blackberry1310	47
50	Fuad_R	45
51	jacxhadow	42
51	Onennon	42
51	Blu3beast	42
54	TheDankPlatypus	40
55	Zythose	39
55	lizardfightclub	39
55	fluddd	39
58	Mattesco	38
59	Arceus1975	37
60	BlancoFlaco	36
60	G1ldor	36
60	PortlyPete69	36
63	Rumpletaezer	35
64	Heisenbberrg	34
65	RebelAndroid	33
65	Lord_Jord	33
65	Spacewardharpy7	33
68	Jackattack53	32
69	catandmoose	31
69	Vorlice	31
69	EcksD	31
72	PhantomsGhost_	30
73	CollinMH06	29
73	SingedBread	29
73	Powowowow	29
73	PlasticOtari	29
77	wwwwinnebagoooo	28
77	TechnoNinja64	28
79	eviltunix	27
79	Rasmanden	27
81	NomadicRobin_	26
82	500am	25
82	luseis	25
82	sp00ky_ghost977	25
82	xolstoi	25
86	ImpavidArcher	24
87	masskedman	23
88	Vellu21	22
89	NotMeanttoChange	21
89	ROY4LE	21
89	xxPipperDipperxx	21
89	Touched_Bread	21
89	olliebollie48	21
89	_Bguette_	21
89	mihimihimihi	21
89	Eraxa	21
89	Kubeusz2010	21
89	h2p_emrld	21
99	LionelHutzESQ	20
99	ApophisNova	20
99	MyNamaSheff	20
102	Isaac70096	19
102	Hiryu27	19
102	Skylord_Luke	19
102	Kyrum2169	19
106	bigstankyy	18
106	JollyDroopy52	18
106	djancak	18
109	Bandito_Roamer	17
109	KartivGal	17
109	07shiny	17
109	BreadBacon	17
113	MineMaster0012	16
