rank	username	minecraft:mined/minecraft:potted_brown_mushroom
1	Legendosh	8
2	Reamdin	3
3	Werbe	2
3	Dusk_95	2
5	xXTheWolfmanXx	1
5	burbankbuilder28	1
5	Akoot_	1
5	FreakGenius	1
5	gusstationwerker	1
5	PlasticOtari	1
