rank	username	minecraft:mined/minecraft:attached_melon_stem
1	GooseWithin	157
2	starbits140	67
3	diggydog67	45
4	pintsizedrogue	41
5	Mr_Byzantine	38
5	Fakiuss	38
7	kekhon	32
8	F_Uhre	28
9	Di_infiri	27
10	corvidpartyfor6	23
11	Skylord_Luke	21
12	Kakolbus	20
13	SaucyDark	15
13	Yamdalorian	15
15	ShedJr_	12
16	EdGalbraith	11
16	El_Jalapeno	11
18	Secret_Canary	10
18	xxPipperDipperxx	10
20	thescout7	9
20	RadarHz	9
22	CoffeeNoir	8
22	slkiey	8
24	Caribouse	7
24	PegLegPete93	7
24	Zythose	7
27	Blackberry1310	6
27	PigDab	6
27	Njensen7	6
30	Bandito_Roamer	5
30	TheShyPig	5
32	foxncat	4
32	4774	4
32	cutelilreno	4
32	SUN_DREAM	4
32	SirBreadward	4
32	MisfitsMike	4
38	SpartanNamor	3
38	6king6colt6	3
38	Killercatty78	3
38	shneed	3
38	Fullut	3
38	Diavri	3
38	KillerNekoRain	3
38	rotten_mango	3
38	StinkyDiplomat	3
38	FreakGenius	3
38	doublemaki	3
38	brofrickcheaters	3
38	Ezekson	3
38	Jordan_R	3
52	CLG_Kata	2
52	Apollo_993	2
52	Merv__	2
52	Hpdinosaur	2
52	eitanzaki	2
52	openatheclose	2
52	T045RTY	2
52	Stright_	2
52	Mercadies	2
52	roxycherry	2
52	Comma__	2
52	Snowflowe	2
52	IamCL4SSY	2
52	kkatsuragi	2
52	Dakar_	2
52	MightyWertu	2
52	Blaiku	2
52	SkateboardR6	2
52	Vicemaniac	2
52	WyngGoy	2
52	shuniji_	2
52	_Tilariel_	2
52	Danielbe	2
52	__tomato	2
52	miramyu	2
52	smogfrogg	2
52	TechnoNinja64	2
79	Lepthymo	1
79	SugarMyNuggets	1
79	RoskobiOne	1
79	_stets	1
79	dabloons	1
79	Nucket	1
79	q_wq	1
79	Tommhh	1
79	Gemstuff	1
79	Ryan_GEMS	1
79	ZipdipXXX	1
79	livingdaydreams	1
79	lorywithay	1
79	Mahoose	1
79	joethahobo	1
79	beeperbeeper5	1
79	chlorinex	1
79	dopplexd	1
79	DarkFisto	1
79	m_be9	1
79	Megarboh	1
79	GingerNeutron	1
79	leaf26	1
79	Kamflame	1
79	fade_emerge78823	1
79	hoverfishing	1
79	intropass	1
79	lia1337owo	1
79	noam464	1
79	Zorin_Blitz	1
79	BlueZabu	1
79	BigMoneyH	1
79	Windo_licker	1
79	RocketRidge	1
79	TastefulBas	1
79	WET_WET_WET	1
79	thewindmillman	1
79	U_Mos_	1
79	Fast_Turtle	1
79	nut_e	1
79	MustardDrinker	1
79	CaptainDeadBread	1
79	Voxin2K	1
79	seramalen	1
79	Onennon	1
79	lizardfightclub	1
79	luseis	1
79	KermitTheKripple	1
79	Twighst	1
79	cog	1
79	Barlycorn	1
79	TheMiddayMoon	1
79	Toriankel	1
79	Spacewardharpy7	1
79	Leithz6	1
79	OG_Songsee	1
79	CacheOut	1
79	Kowcio_	1
79	stellarjay	1
79	Celeste_121	1
79	SpacesickPrism	1
79	Kubeusz2010	1
79	mobunni	1
79	OfficerAnvil	1
79	FGamerJ	1
79	UrbanPlanningEx	1
79	Jimb0nat0r	1
