rank	username	minecraft:mined/minecraft:powder_snow_cauldron
1	PlasticOtari	76
2	12Magner05	29
3	beeperbeeper5	10
4	noam464	9
5	AdmiralSmoke	6
6	CLG_Kata	3
7	_Boipl_	1
7	Segotep999	1
