rank	username	minecraft:mined/minecraft:mud_brick_stairs
1	Pumpkin_P_Patch	289
2	Kowcio_	81
3	Merv__	65
4	Lez_	51
5	Mr_Byzantine	36
6	pixelviolin	31
7	Dakar_	25
8	Soplight	20
9	Enderxz3	19
10	j5ylim	17
11	Archsam	16
12	TheWickedBird	15
13	Hyp3rion_	14
13	MrShojo	14
15	_Huge_Male_	13
16	Mattesco	12
16	luseis	12
18	SpacesickPrism	11
18	Steelynan	11
20	PazinGaming	10
20	skroobiez	10
20	rarrq	10
23	pintsizedrogue	9
23	Secret_Canary	9
25	Mahoose	7
25	beeperbeeper5	7
25	Roenfire	7
25	oscminus	7
25	Manaateee	7
30	Werbe	5
31	Iamthejo	3
31	PlasticOtari	3
33	crashomon	2
33	Jackattack53	2
35	EMC_	1
35	_Mythic____	1
