rank	username	minecraft:mined/minecraft:acacia_log
1	beeperbeeper5	21197
2	Smoke____	15963
3	Blackberry1310	5025
4	eiC_	4791
5	ApophisNova	4081
5	MyNamaSheff	4081
7	Franco093	3730
8	gcaisawesome	3539
9	Enderslayerxz3	2882
10	Meatlaugh	2706
11	KarlKaek	2472
12	Werbe	2380
12	AssEatrAndLicker	2380
14	YungMaki	2359
15	TheShyPig	2255
16	Winklepicker279	1973
17	noam464	1853
18	MyNameIsJobo	1752
19	Groovy_MoonBird	1597
20	Di_infiri	1594
21	stahouo	1499
22	KingMatthew506	1401
23	Zedducius	1383
24	lordpipe	1315
25	r123moore	1111
26	joethahobo	1110
27	Spacewardharpy7	1068
28	Bandito_Roamer	1005
28	Soul_Atreus	1005
30	ImpavidArcher	993
31	jushykins	989
32	kekhon	981
33	Snowflowe	955
34	eitanzaki	917
35	EcksDofficial	901
36	sebastiensaborio	870
37	mariominejedi	834
37	mawileite	834
39	El_Jalapeno	800
40	Zaridey	791
41	Onennon	783
42	TheSeismicDuck	724
43	RebelAndroid	700
44	ProfessorBee	698
45	EveryonesUncle	695
46	Merv__	686
47	fkGrim	678
48	m_be9	662
49	Zythose	630
50	youhjjhhhjj	617
51	Hoid_the_Roamer	611
52	EcksD	601
53	MilleGrug	600
54	Frozil12	593
55	HellsSponge	587
56	tartanboy	540
57	starbits140	524
58	Mahoose	521
59	Mowelan	507
60	smogfrog	482
61	Kim_Jong_eel	474
62	Ezekson	468
63	RoyalDorrr	456
64	thgrocks	444
65	Luigipunch989	443
66	fffMike	416
67	ROY4LE	408
68	Doom_melon	400
69	himak1	399
69	Lowjinx	399
71	Jiminie	393
72	pintsizedrogue	392
73	AnnieBathory	387
74	DemTechAlpha	377
75	EMC_	366
75	BlancoFlaco	366
75	Legendosh	366
78	2Stout	364
79	SuperPooch06	361
80	JESS_THE_RERE	358
81	Hiryu27	326
82	ratglock	325
83	stellarjay	323
84	PlasticOtari	316
85	xXTheWolfmanXx	314
86	peach0s	305
87	Skippeh	304
88	Fractured_	301
89	Malorn_Aetherius	295
90	sp00ky_ghost977	289
91	Freak_Genius	286
91	Soplight	286
93	PortlyPete69	282
94	TastyPorkchop	277
95	jewbacaman	268
95	xX_Stalin69_Xx	268
97	Blaiku	264
98	ProfessorDiaper	262
99	Jackattack53	251
100	FelixPSY375	240
101	KlausVonStiglitz	236
102	loveseeker	235
103	awesomeoneme	232
104	Kamflame10	231
105	500am	228
106	FreddyFart	226
107	TechnoNinja64	223
108	Hpdinosaur	218
108	DarlaMeow	218
110	h2p_emrld	211
111	Marbz_	209
112	AgressiveEggdog	207
113	Hanselhoof	201
113	Nicserso	201
115	chipklip	198
116	LeeMcGee30	197
117	firesgal3116	193
118	andy_rex	192
119	Powowowow	189
120	TheSecondLord	185
120	thewindmillman	185
122	ThePoliteG	182
123	RedcatVII	177
124	Vellu21	175
125	KartivGal	174
126	dudcreeper	167
126	Akoot_	167
128	Hyp3rion_	166
128	_Karmaa	166
130	marumochis	163
131	Cowison	162
132	_Nuf	160
132	Barlycorn	160
134	dopplexd	156
135	T045RTY	153
136	lilsay	152
137	thescout7	148
138	Groundler	147
139	anbbang	145
140	Vizzoid	144
140	BlossomOwO	144
142	Rich_Kat	143
143	Ilinca_Io	142
144	Alexanderjac	136
144	YoshikageBites	136
146	FujiBS	135
146	Drawgirll	135
148	CueMix	133
149	Seindi	130
150	Kakolbus	129
151	Sral7	126
152	Ecplosive	125
152	560cool	125
152	DeGodz4life	125
155	Swexti	124
155	RobotMinion101	124
155	IAmTheWalrus910	124
155	DennyKai	124
155	oxfordschool	124
160	ChillenChiggen	123
160	NomadicRobin_	123
162	yulgur1	120
162	alderban107	120
162	potatocan	120
165	Hyugo	117
165	kars0n	117
165	Skylord_Luke	117
165	ItsAki_	117
169	Deodorante	116
169	Moetis	116
171	titanlax	115
171	DShrewzy	115
173	audiocracked	114
174	SaucyDark	113
175	Mr_Byzantine	112
176	underscore_2	110
177	BakersBanchOf	109
178	Schlitzman	107
179	Babushka0430	104
180	planc_	103
180	SellyZ	103
182	Prodiginus	102
183	funeralhome	101
183	Karetoko	101
185	SingedBread	100
186	Kubeusz2010	99
187	pappaberg	98
187	laron58	98
189	TheThomas69	97
189	NameGenerat0r	97
191	Chuvacevedo	95
191	Inbefour	95
191	_czarny	95
194	SpaceGrenadier	94
195	slkiey	93
195	fluddd	93
197	SokaOtaku	92
197	_naturell	92
199	AuroraValkyrie	91
200	baxteerr	90
201	ShedJr_	89
201	Dreamdbr14	89
203	PigDab	88
203	MakeHistory157	88
203	JayToe	88
206	Euclidoris	87
206	paranoid_plant	87
206	WyngGoy	87
209	Kynigito	86
209	OfficerAnvil	86
211	__tomato	85
212	Jiminbub	84
213	Maenara	83
213	Blu3beast	83
215	bitsplease	82
216	Quaintster	81
216	csendeslol	81
216	Kowcio_	81
219	Healthing	79
219	claivin	79
221	eviltunix	77
222	Chayula	76
223	King_Pancake1	75
223	_3Stump_	75
225	duqboy	74
226	MousePlays	73
227	Toowny	72
228	Ajax6	71
228	Slapface522	71
230	PlasticPrinter	70
230	SLASHZEERA	70
232	tortillatitan	67
232	noodlepack	67
232	MustardDrinker	67
235	Juh1s	66
236	geekbird	65
236	Susp1ci0us	65
238	teslawolf38	64
239	BlueZabu	63
240	abramgray	62
241	benediktine1	61
242	mountaingirl311	60
243	AlphaWolfPlaysMC	59
243	_Ruzeeq_	59
245	Bolete	58
245	bean__salad	58
245	_beep_boop	58
245	Cylni	58
249	Bumpy419	57
249	ooga47	57
251	Jackster03	56
251	spaece	56
251	hayybails	56
254	Arteriana	55
254	Ozixar	55
254	cedric72	55
254	kinas45y5	55
258	Notta	54
259	Rumpletaezer	53
259	C0oOK13M0N5T3R	53
261	set67	52
261	MeanTugger	52
263	rarrq	51
263	Arceus1975	51
265	PhantomsGhost_	50
265	Wooptey	50
267	mafiKiwi	49
268	epiksk8erduck	47
268	MyNameIsDakar	47
270	NotMeowMix	45
270	Kyrum2169	45
272	_stets	44
272	Fullut	44
272	ori0le	44
272	SwooshBoi	44
276	Houstonion	43
276	Meepcraft	43
278	cowgirlkasia	42
278	KillerNekoRain	42
280	lumpump	41
