rank	username	minecraft:mined/minecraft:cut_copper_slab
1	Nicserso	285
2	PlasticOtari	188
3	Mr_Sun15	145
4	Mr_Byzantine	117
5	beeperbeeper5	93
6	Yamdalorian	85
7	TheWickedBird	78
8	thewindmillman	65
9	EveryonesUncle	24
10	hanaryheatwave	18
11	Pumpkin_P_Patch	16
12	Lez_	14
12	Jonafrog99	14
14	SpacesickPrism	13
15	Manaateee	12
16	EMC_	9
17	_Huge_Male_	6
17	skroobiez	6
17	LeauVox4921	6
20	Merv__	4
20	Penguinllama517	4
20	Vegvisir	4
23	H0UNDFRMH3LL	3
23	Mahoose	3
23	Hyp3rion_	3
23	Lord_Jord	3
23	Lutres_	3
23	pixelviolin	3
29	pintsizedrogue	2
29	k_ce	2
29	JETrotter	2
29	Jimb0nat0r	2
33	TheSecondLord	1
33	Kubelz	1
33	Mattesco	1
33	StinkyDiplomat	1
33	Kowcio_	1
