rank	username	minecraft:mined/minecraft:cyan_wall_banner
1	m_be9	27
2	luseis	25
3	Fullut	22
4	beeperbeeper5	16
5	Onennon	13
5	ZeroKraken	13
7	Spacewardharpy7	11
8	EveryonesUncle	9
9	Werbe	7
9	TheShyPig	7
11	RoofTyler	6
12	Snowflowe	5
12	lordpipe	5
14	Blackberry1310	4
14	SvenskaHugo	4
14	Skippeh	4
14	xolstoi	4
18	Mattesco	3
18	Eraxa	3
18	EcksD	3
21	KarlKaek	2
21	SaucyDark	2
21	Historical_Sand	2
21	kekhon	2
21	Akoot_	2
21	HellsSponge	2
21	Xclax101	2
28	Isaac70096	1
28	LionelHutzESQ	1
28	joethahobo	1
28	noam464	1
28	Marbz_	1
28	CyberDlck	1
28	Lifedy	1
28	iSammael	1
28	moolerbooler	1
28	Enderxz3	1
28	bladeefan2009	1
