rank	username	minecraft:mined/minecraft:soul_wall_torch
1	ShedJr_	33
2	Skippeh	28
2	Enderslayerxz3	28
4	kekhon	25
5	seramalen	16
6	Skylord_Luke	11
6	Kubeusz2010	11
8	CliffEmAll	10
9	beeperbeeper5	9
10	Jiminie	8
10	CalebDHawk	8
12	SammiWolfGirl	7
12	Hermanni__	7
14	T045RTY	5
14	Blackberry1310	5
14	TheSecondLord	5
14	CarltheCuck	5
14	Akoot_	5
14	Smoke____	5
20	eitanzaki	4
20	Mahoose	4
20	gustarbite	4
20	KingMatthew506	4
20	oxfordschool	4
25	Historical_Sand	3
25	noam464	3
25	thewindmillman	3
25	FishyBoy3811	3
25	Legendosh	3
30	rarrq	2
30	MrExplorer	2
30	Awyrlas	2
30	finbob5	2
30	r123moore	2
30	cichy096	2
30	kinas45y5	2
37	Groovy_MoonBird	1
37	AuroraValkyrie	1
37	teslawolf38	1
37	titanlax	1
37	mwrty	1
37	Yuvl	1
37	pumpfonzo	1
37	Hyp3rion_	1
37	cwartzo	1
37	_Boipl_	1
37	Billious	1
37	Werbe	1
37	Lord_Jord	1
