rank	username	minecraft:mined/minecraft:deepslate_copper_ore
1	500am	1110
2	Nicserso	1066
3	pintsizedrogue	693
4	luseis	680
5	Enderxz3	636
6	EMC_	516
7	corvidpartyfor6	498
8	TheBananaKat	389
9	hanaryheatwave	377
10	pixelviolin	297
11	YungMaki	293
12	Kowcio_	218
13	Snowflowe	210
14	Apollo_993	206
15	PaperCanvas	204
16	k_ce	199
17	LeauVox4921	184
18	U_Mos_	175
19	gcaisawesome	169
20	mihimihimihi	146
21	Yamdalorian	144
22	beeperbeeper5	143
22	Hyp3rion_	143
22	PlasticOtari	143
25	Jimi7hits	127
26	Mr_Byzantine	122
27	thewindmillman	120
28	non089	105
28	Iamthejo	105
28	00000000-0000-0000-0009-01ff0c3e5e4f	105
31	SpacesickPrism	99
32	Kakolbus	97
33	MAns_44	96
34	calamariclam_I	94
35	Mattesco	91
36	Jimb0nat0r	80
37	lordpipe	76
38	SingedBread	69
39	Mahoose	65
40	Alteriity	64
40	Nadhorion	64
42	Marbz_	60
43	MattieHD	58
44	powercas_gamer	54
44	Krowuss	54
46	RebelAndroid	52
46	groofles	52
46	MustardSquid	52
49	Galactic_Badger	49
50	Silvo614	47
51	Manaateee	46
51	truonggojo777	46
53	Soplight	45
54	FormulaNewt3627	43
55	shrimp_flips	40
56	diamondgolem35	39
57	mr_crabs761	38
58	Ezekson	37
59	TheDankPlatypus	35
60	Ryker	32
60	KGTV	32
60	AlexxO_o	32
63	crying_wolf_13	31
64	12Magner05	30
65	Valoth	28
65	Ze_BaronKrigler	28
67	Kubelz	27
67	dartwaffle	27
67	underscore_2	27
67	Heisenbberrg	27
67	WildTamara	27
72	NotRemets	26
72	q_wq	26
72	poopybh	26
72	WYFYoyo	26
76	EveryonesUncle	25
77	Lez_	24
77	Sleepy_Evelyn	24
77	Segotep999	24
80	Gus2005	23
81	Killercatty78	22
81	xPixelRainx	22
81	shadowthemonkey	22
81	Pumpkin_P_Patch	22
85	Olib3ar	20
85	infiniteQuery	20
87	noam464	19
88	rarrq	18
88	BeardBois	18
88	Njensen7	18
91	Sleepy_Time_	17
91	_i_ERROR_i_	17
93	PazinGaming	16
93	Huwulling	16
95	j5ylim	15
95	Ithaca19	15
95	Samificator	15
95	AuroraSkies	15
95	Invintic	15
100	Miroryk	14
100	TheSecondLord	14
100	ApophisNova	14
100	H_O_M_H	14
100	mobunni	14
100	MyNamaSheff	14
106	MSK__	13
107	Enigma0251	12
107	hcb238	12
107	Deathkob	12
107	Sheldor097	12
107	Sniper008	12
112	Hail_the_wombat	11
112	ChronoSounds	11
114	Deu_Stew	10
114	Flores991	10
114	ShedJr_	10
114	joethahobo	10
114	Hetti301	10
114	Touched_Bread	10
114	Boipl	10
114	nut_e	10
114	oscminus	10
114	Moofyman	10
114	EtherealEspresso	10
125	RoskobiOne	9
125	Crowman1	9
125	MinttyFressh	9
125	lorpus	9
125	Lord_Jord	9
125	Vicemaniac	9
125	SvenskaHugo	9
132	SyntheticSurgeon	8
132	Da_Boss_Rani	8
132	ItsDeltaMC	8
132	StarCookiees_	8
132	BungalowBeet	8
137	ImpavidArcher	7
137	CoffeeNoir	7
137	Secret_Canary	7
137	Solar_Power	7
137	thebaddruid	7
137	Luminad3	7
137	yulgur1	7
137	Thunder_bird4337	7
137	Steelynan	7
137	coobert42	7
147	H0UNDFRMH3LL	6
147	SaphLaseer	6
147	eitanzaki	6
147	Myszoaz	6
147	dimitri0s	6
147	ZeroAbyssTTV	6
147	Reneedium	6
147	RebytreGT	6
147	Werbe	6
147	floodjon	6
147	MinuteMira	6
147	censorsheep	6
147	Druid95	6
147	Lord_Doob	6
147	EcksD	6
162	kidel03	5
162	gabukun_	5
162	aFrogThatExists	5
162	excelsionprime	5
162	kalzor	5
162	verynothing	5
168	QuiCreans	4
168	Toasty_Tom	4
168	emreknugrlu	4
168	IdeallyGrey	4
168	tsitrawhy	4
168	Spenduh	4
168	PortlyPete69	4
168	fffMike	4
168	EngagedGrub41	4
177	Napoleonpancake	3
177	ECstardust	3
177	Flex_Tape_Phil	3
177	myaccountwasgone	3
177	fade_emerge78823	3
177	Mookle96	3
177	Inchef	3
177	GooseWithin	3
177	EdGalbraith	3
177	masskedman	3
177	Fuad_R	3
177	WigglyMustard	3
177	ZeroKraken	3
177	hermmm_	3
191	BPTY4618	2
191	JohnnyMines	2
191	SmashingPump	2
191	6king6colt6	2
191	MoonWatcher19	2
191	Leyraxos	2
191	T045RTY	2
191	SOA1RR	2
191	skroobiez	2
191	ChampPog_	2
191	NieToksikpl	2
191	Di_infiri	2
191	fragrantmonke444	2
191	Malware_Mara	2
191	SuperPooch06	2
191	zToasty69z	2
191	MoonSonata1	2
191	Veillax135	2
191	FreakGenius	2
191	iSammael	2
191	CalebDHawk	2
191	RadarHz	2
213	TooPure2	1
213	ZaneABrain	1
213	PhantomBionic	1
213	MrKrabOnCoke	1
213	Chickenchaser2	1
213	catandmoose	1
213	DRGUNNUT	1
213	Smashic	1
213	olliebollie48	1
213	smarticuno	1
213	Jackattack53	1
213	Jonafrog99	1
213	OreTheBear	1
213	KeruNatsema	1
213	Tiktola01	1
213	HellsSponge	1
213	DanTheBuilderino	1
213	ConnorTG5	1
213	TheKingK_	1
213	LeEricc	1
213	alanbleachdemon	1
213	jcool7	1
213	elliebelle107	1
213	CattSoup	1
