rank	username	minecraft:mined/minecraft:stone_bricks
278	LordSpeed37	265
279	AltnumberF4	262
280	2blox	257
281	Sleek_Storm_721	256
281	HELLO_I_AM_BEAR	256
283	Jackster03	255
283	VentiHilton	255
283	kinas45y5	255
286	cringenaynaybaby	250
287	_naturell	248
288	Cortexia	245
288	NormanFetus	245
290	Matorz	241
291	mawileite	240
292	Motsaro	239
292	layabout100	239
292	plato2066	239
295	Jordan_R	236
296	sp00ky_ghost977	233
296	bitsplease	233
298	AnnieBathory	232
299	arcanemagic	231
299	scarletwarrior1	231
