rank	username	minecraft:mined/minecraft:hopper
1	HellsSponge	9245
2	noam464	5771
3	Di_infiri	3050
4	eitanzaki	3033
5	thescout7	2671
6	PigDab	2624
7	Hyp3rion_	2193
8	fffMike	1957
9	thewindmillman	1867
10	Spacewardharpy7	1809
11	Werbe	1564
12	Snowflowe	1349
13	ProfessorBee	1255
14	Smoke____	1187
15	Blaiku	1065
16	Freak_Genius	1022
17	El_Jalapeno	990
18	Eczbek	986
19	Kakolbus	924
20	Jimi7hits	812
21	MightyWertu	751
22	obzii	741
23	m_be9	669
24	MyNameIsJobo	640
25	Historical_Sand	596
26	MilleGrug	578
27	EcksD	560
28	Deathkob	558
29	MangoTheFish	551
30	Fullut	548
31	Jackattack53	542
32	Zythose	538
33	sp00ky_ghost977	505
34	Ezekson	493
35	Frozil20	492
36	EMC_	484
37	Inbefour	449
38	Spenduh	438
39	Arceus1975	407
40	beeperbeeper5	338
41	MustaLoordi	334
42	pintsizedrogue	331
43	Akoot_	325
44	Bumpy419	322
45	joethahobo	312
46	Warlord324	298
47	Lord_Jord	290
47	TechnoNinja64	290
49	YungMaki	288
50	ssleepless	286
51	EngagedGrub41	269
52	Jovaphobic	264
53	ApophisNova	259
53	MyNamaSheff	259
55	eviltunix	251
56	PortlyPete69	248
57	jnp_gaming	246
58	RebelAndroid	234
59	T045RTY	231
60	Skylord_Luke	228
61	KG1999	216
62	Groundler	215
63	Sheldor097	213
64	yatsuta	211
65	Hiryu27	210
66	12Magner05	208
67	Racengan	205
68	Miko_Fullbuster	198
69	Segotep999	193
70	Rumpletaezer	188
71	ImpavidArcher	184
72	Quotary	182
73	Dedalus36	176
74	Comma__	175
74	King_Pancake1	175
76	Awyrlas	172
77	Paintz	169
77	Zoeyfortnite	169
79	Alteriity	167
79	Hisiste	167
81	WyngGoy	162
82	Steelynan	161
83	PlasticOtari	152
84	Mahoose	150
84	Soplight	150
86	_Virify_	140
87	ToastedGamingYT	137
88	prizm_	136
88	EcksDofficial	136
90	TheShyPig	130
91	gcaisawesome	128
92	_Nuf	127
93	Blackberry1310	125
93	TheDankPlatypus	125
95	Sral7	124
96	gabriels543	120
97	HesDemonPants	116
98	Swexti	112
99	DemTechAlpha	111
100	ShedJr_	110
101	Covalents	109
102	Fuad_R	108
103	Bandito_Roamer	106
104	TheSeismicDuck	104
105	soundad	100
106	PhantomsGhost_	99
106	__tomato	99
108	Merv__	98
108	himak1	98
108	r123moore	98
111	awesomeoneme	96
112	Legendosh	95
113	Fildyr	93
113	UrbanPlanner1978	93
115	set67	92
116	Rebytre	91
117	Octatrack	90
117	kekhon	90
117	DanTheBuilderino	90
120	Wooptey	88
120	non089	88
122	The_slideV3	85
123	lordpipe	82
124	2blox	80
125	Quincannon	79
126	eiC_	78
127	Ssor69	76
128	xxPipperDipperxx	75
129	egglapras	74
130	TheSecondLord	72
131	Marbz_	70
132	EveryonesUncle	69
133	Prodiginus	67
133	anbbang	67
135	SammiWolfGirl	65
136	JEWISHBadenBeele	64
136	I_Am_Mushkin	64
136	Huwulling	64
139	Lez_	63
139	Blu3beast	63
139	mihimihimihi	63
139	stavgod	63
143	Jackster03	62
143	Masssonnn	62
143	fred870d	62
143	GlitchyPlate810	62
143	Hermanni__	62
148	4774	61
148	Inchef	61
150	Prismyst	60
150	Wowful	60
150	Kowcio_	60
153	_8man	59
154	diamondgolem35	58
154	ItsAki_	58
154	StinkyDiplomat	58
157	SlayerCrypto	57
158	Seyaboy	55
158	h2p_emrld	55
160	teslawolf38	54
160	SDMNAEK	54
160	IforgotCS_Source	54
160	Factoroni	54
160	ElKaySVK	54
165	kinas45y5	53
166	Hoid_the_Roamer	52
166	DTwenty	52
166	oxfordschool	52
169	Nicky_H225	51
170	q_wq	50
171	M_Patata	49
171	Fuhrer_Teemo	49
173	500am	48
173	Touched_Bread	48
173	fw3xywashere	48
173	Barlycorn	48
177	dimondking777	47
177	Scathra	47
177	KGTV	47
177	Onennon	47
177	OfficerAnvil	47
182	HolyVenom	46
182	groofles	46
182	tsitrawhy	46
185	MasterNueve	45
186	PuFY	44
187	FishyBoy3811	43
188	Malorn_Aetherius	42
188	_Dean_123	42
188	Skippeh	42
188	vandmanden	42
188	Jordan_R	42
193	oreee	41
193	SteveCraftBlocks	41
195	Rasmanden	40
195	Kyrum2169	40
195	MeetTheWollo	40
198	Truckoss	39
198	censorsheep	39
198	Powowowow	39
201	gilesmcriles	38
201	BumbleBeever	38
201	Strangemonkey71	38
201	SpacesickPrism	38
205	Megarboh	37
206	ExtraDumb	36
206	CollinMH06	36
206	Luigipunch989	36
209	KingFaenor	35
209	jushykins	35
209	mwrty	35
209	pixelviolin	35
213	bigstankyy	34
213	livingdaydreams	34
213	LexMakesHistory	34
216	Groovy_MoonBird	33
216	Hpdinosaur	33
216	Mewar	33
216	Voxin2K	33
220	SellyZ	32
220	ImDisconnected_	32
220	Giannism	32
220	claivin	32
220	diggydog67	32
225	CoffeeNoir	31
225	TheDumbHuman	31
225	calamariclam_I	31
228	slkiey	30
228	Zaridey	30
228	Nycteus_	30
228	radioactv_jelly	30
232	rarrq	29
232	Maenara	29
232	_Bguette_	29
232	iHuntWeeaboos	29
232	fluddd	29
232	07shiny	29
238	selectrix	28
238	cedric72	28
238	Nicky19	28
238	masskedman	28
242	Da_Boss_Rani	27
242	Optiprimus	27
242	Kferno	27
245	Euclidoris	26
245	picardred	26
245	loveseeker	26
245	Enderslayerxz3	26
249	mariominejedi	25
249	RobotMinion101	25
249	audiocracked	25
249	Weepingbiel	25
253	sxc_	24
253	SingedBread	24
253	MakeHistory157	24
253	Nicserso	24
257	Iagoku	23
257	Zedducius	23
257	_TCARREIRA_	23
257	Winston_Ingram	23
261	H72l9w	22
261	Rich_Kat	22
261	MattieHD	22
261	Jiminie	22
261	silverpopcorn	22
261	microcrisp	22
261	PlzNoBM	22
268	ooga47	21
268	KnightmareD	21
268	Xclax101	21
268	SvenskaHugo	21
272	Incinere	20
272	ZaneABrain	20
272	FirsTimeGamingTV	20
272	carloselpapii	20
272	AlexxO_o	20
272	Dusk_95	20
272	jcool7	20
279	NieToksikpl	19
279	NotMeanttoChange	19
279	NomadicRobin_	19
279	JESS_THE_RERE	19
279	voiding_	19
279	ProbsNotNova	19
285	ChampPog_	18
285	domagawha	18
285	Leyna3	18
285	Darkgon	18
285	ayamefag	18
290	CarltheCuck	17
290	ChrisKyleST3	17
290	TheTrueClipse	17
290	IAmTheWalrus910	17
290	KingMatthew506	17
295	itburb	16
295	TheThomas69	16
295	33sudo	16
295	AltnumberF4	16
299	Ryker	15
299	bloodbiter	15
