rank	username	minecraft:mined/minecraft:potted_dark_oak_sapling
1	royal_2	13
1	ROY4LE	13
3	Mahoose	4
3	PlasticOtari	4
5	EMC_	3
5	kekhon	3
5	Maenara	3
5	luseis	3
9	RoskobiOne	2
9	BlueZabu	2
9	a_d_e_x	2
9	Druid95	2
13	pintsizedrogue	1
13	Mr_Byzantine	1
13	TildaAndrea	1
13	6king6colt6	1
13	Prismyst	1
13	Lez_	1
13	MSK__	1
13	Historical_Sand	1
13	cheerytomato	1
13	Blackberry1310	1
13	Reneedium	1
13	XxCookiequeenxX	1
13	Eraxa	1
13	TheKingK_	1
13	MilleGrug	1
13	Ezekson	1
13	HesDemonPants	1
13	Spaghettatron	1
