rank	username	minecraft:mined/minecraft:potted_lily_of_the_valley
1	Mahoose	23
2	RatatJuice	12
3	wezzzi	8
3	SammiWolfGirl	8
5	pintsizedrogue	7
5	titanlax	7
7	Freak_Genius	6
8	Blackberry1310	5
8	Legendosh	5
10	Chromary	4
11	orxngejuice	3
12	KarlKaek	2
12	Cambo5000	2
12	Zythose	2
12	Akoot_	2
16	Merv__	1
16	numbra	1
16	SaucyDark	1
16	Myszoaz	1
16	TheSecondLord	1
16	500am	1
16	Xalithia	1
16	xxPipperDipperxx	1
16	Vetral1	1
16	NomadicRobin_	1
16	Dusk_95	1
16	Eraxa	1
16	Spenduh	1
16	CalebDHawk	1
16	Teebone15	1
