rank	username	minecraft:mined/minecraft:mossy_stone_bricks
1	HellsSponge	3347
2	mihimihimihi	2559
3	luseis	2211
4	El_Jalapeno	2080
5	pintsizedrogue	754
6	Maenara	667
7	AssFullaCum	639
8	TheSecondLord	557
9	TheShyPig	554
10	Iamthejo	538
11	Ezekson	463
12	Fuad_R	454
13	Legendosh	439
14	Tyrannosplart	432
15	MyNameIsJobo	398
16	cedric72	376
17	YungMaki	324
18	FreakGenius	282
19	Crowman1	281
20	binman420	278
21	Tommhh	267
22	kekhon	229
23	KujikawaRisechi	222
24	iSammael	211
25	fkGrim	190
26	Comma__	188
26	Racengan	188
28	500am	174
29	Wowful	173
30	Eraxa	156
31	Blu3beast	145
32	Xalithia	140
33	chipklip	135
34	layabout100	133
35	Blackberry1310	129
36	Zythose	128
37	Bumpy419	127
38	SaucyDark	120
39	Kubelz	112
40	plato2066	106
41	SvenskaHugo	105
42	Fullut	93
43	SuperPooch06	89
44	alderban107	84
45	lizardfightclub	83
46	ogoa	77
47	Di_infiri	76
48	Eraza	74
49	Bandito_Roamer	71
50	Historical_Sand	69
51	RefluxRatio	67
52	Smoke____	66
53	MrKrabOnCoke	62
54	thewindmillman	59
54	SaintJosie	59
56	Skylord_Luke	57
57	Spacewardharpy7	55
58	Steelynan	54
59	joethahobo	52
60	eitanzaki	48
61	Frozil20	47
62	starbits140	44
63	UrbanPlanningEx	43
63	00000000-0000-0000-0009-01ff0c3e5e4f	43
65	Shogunite	40
66	Hiryu27	39
66	_Karmaa	39
68	WyngGoy	38
69	thescout7	37
70	Kowcio_	36
70	EcksD	36
70	FallenCorps	36
73	Enderxz3	34
74	Merv__	32
75	beeperbeeper5	31
75	UCP_TheKingK	31
77	Inchef	29
77	Marbz_	29
77	burbankbuilder28	29
77	PlasticOtari	29
81	Notta	28
82	_TCARREIRA_	27
82	smogfrog	27
84	Akoot_	26
85	KarlKaek	24
85	rarrq	24
87	Kamflame10	23
88	Rumpletaezer	22
88	MinuteMira	22
88	KingMatthew506	22
91	m_be9	21
91	12Magner05	21
91	crying_wolf_13	21
94	Jimi7hits	20
94	ChrisKyleST3	20
94	NoChumpChange	20
94	Nycteus_	20
98	heckface	19
98	noam464	19
98	epiksk8erduck	19
101	SmashingPump	18
101	LilLizardWizard	18
103	Arceus1975	16
103	Blaiku	16
103	Dusk_95	16
106	Fuhrer_Teemo	15
106	Barlycorn	15
106	diggydog67	15
109	Mr_Byzantine	14
109	Hyp3rion_	14
109	balin55	14
109	kyouma777	14
113	Euclidoris	12
113	titanlax	12
113	MinttyFressh	12
113	Snowflowe	12
113	Werbe	12
113	groofles	12
113	SammiWolfGirl	12
120	T045RTY	11
120	wezzzi	11
120	Toiton	11
120	TechnoNinja64	11
124	ExtraDumb	10
124	Mahoose	10
124	Cryptacity	10
124	gcaisawesome	10
124	Zaridey	10
124	PigDab	10
124	aec9	10
131	livingdaydreams	9
131	mwrty	9
131	TableTim	9
131	Nickitoe	9
131	_Bguette_	9
131	Fildyr	9
131	EngagedGrub41	9
131	MissCeleste7	9
131	JayToe	9
140	Silenttieg	8
140	ThePoliteG	8
140	Jackattack53	8
140	impossibleteapot	8
140	F_Uhre	8
140	Luminad3	8
140	XxCookiequeenxX	8
140	HELLO_I_AM_BEAR	8
140	Jij0	8
140	ProbsNotNova	8
150	ZeroAbyssTTV	7
150	Winklepicker279	7
150	Kim_Jong_eel	7
150	QueenShuvi	7
150	Quotary	7
150	MirielThePastor	7
156	_Dean_123	6
156	AnnieBathory	6
156	TheTrueClipse	6
156	Inbefour	6
156	claivin	6
156	krutas2000	6
162	NatalieTW	5
162	himak1	5
162	_Boipl_	5
162	pappaberg	5
