rank	username	minecraft:mined/minecraft:frosted_ice
1	ediballbearings	483
2	Blackberry1310	428
3	ROY4LE	224
4	rarrq	179
5	sebastiensaborio	176
6	cedric72	140
7	thewindmillman	104
8	diggydog67	95
9	NebulousBadger	89
10	AnnieBathory	88
11	Z3braYTIL	87
12	RobotMinion101	77
13	SuperPooch06	74
14	_stets	71
14	livingdaydreams	71
16	MAns_44	67
17	12Magner05	63
18	EcksDofficial	59
19	Blu3beast	56
20	Werbe	55
20	anbbang	55
22	Eraxa	52
23	AssEatrAndLicker	40
24	MinttyFressh	39
25	claivin	38
26	Merv__	37
27	Maenara	35
27	ProbsNotNova	35
27	Legendosh	35
27	TechnoNinja64	35
31	FishyBoy3811	33
31	Dreamdbr14	33
33	kekhon	32
34	Strangemonkey71	31
34	SammiWolfGirl	31
36	eitanzaki	28
37	thescout7	27
37	FlashMigma	27
37	Cocoamallows	27
40	jnp_gaming	26
41	Historical_Sand	25
42	Fullut	24
43	beeperbeeper5	23
43	jcool7	23
45	Groovy_MoonBird	22
46	Spenduh	21
46	alderban107	21
48	_TCARREIRA_	20
49	sufjanlover	19
50	noam464	18
50	pixelviolin	18
52	Di_infiri	17
53	Jovaphobic	16
53	Onennon	16
55	whoaluv	14
55	Xclax101	14
57	Mahoose	13
58	Covalents	12
58	RyuNeko932000	12
58	Freak_Genius	12
58	MovingFish7	12
58	plato2066	12
63	Incinere	11
63	fred870d	11
63	NomadicRobin_	11
63	fffMike	11
63	Njensen7	11
68	T045RTY	10
68	Awyrlas	10
68	drumine	10
68	HellsSponge	10
68	Ezekson	10
73	Zetsey	9
73	YungMaki	9
73	kinas45y5	9
76	Jackster03	8
76	m_be9	8
76	Corbsman	8
76	Ender_Souls	8
76	Groundler	8
81	pintsizedrogue	7
81	xyct	7
81	heckface	7
81	Hyp3rion_	7
81	TheShyPig	7
81	Akoot_	7
81	GlitchyPlate810	7
81	HAruSAme14	7
89	bigstankyy	6
89	Swexti	6
89	Ale6LiS	6
89	SlayerCrypto	6
89	Xovalt_	6
89	WyngGoy	6
95	Yatitay	5
95	yoyonovice63	5
95	paranoid_plant	5
95	Rumpletaezer	5
95	Hiryu27	5
95	Inbefour	5
95	El_Jalapeno	5
95	stahouo	5
95	Dogcorn69420	5
95	CalebDHawk	5
105	heysushii	4
105	PhantomsGhost_	4
105	TheSecondLord	4
105	Cambo5000	4
105	set67	4
105	2Stout	4
105	Jackattack53	4
105	Chromary	4
105	KartivGal	4
105	proxivitoid	4
105	Spacewardharpy7	4
105	monky_irl	4
105	Kyrum2169	4
105	TheOnlyRake	4
105	Sral7	4
120	Sparky_KT	3
120	MangoTheFish	3
120	Parcc	3
120	selectrix	3
120	NameGenerat0r	3
120	BlankityMcBlank	3
120	_Yonk_	3
120	Enderslayerxz3	3
120	JayToe	3
120	Smoke____	3
130	nataliecool	2
130	dudcreeper	2
130	Flegneh	2
130	BodaciousCake	2
130	No_u4	2
130	SteveCraftBlocks	2
130	CarbonatedCola	2
130	loveseeker	2
130	Infernowithazero	2
130	ApophisNova	2
130	epiksk8erduck	2
130	Gmoney390	2
130	DarlaMeow	2
130	Warlord324	2
130	Soplight	2
130	EcksD	2
130	cichy096	2
130	MyNamaSheff	2
130	FelixPSY375	2
130	h2p_emrld	2
150	susbakaimpostor	1
150	soundad	1
150	KingFaenor	1
150	xXTheWolfmanXx	1
150	Reamdin	1
150	ShedJr_	1
150	Myszoaz	1
150	Whiterooster001	1
150	cowgirlkasia	1
150	dark279_	1
150	jushykins	1
150	Master_Kol	1
150	mwrty	1
150	Paintz	1
150	moonman169	1
150	_GodGamer69420	1
150	Blamphe	1
150	Fuhrer_Teemo	1
150	_Bguette_	1
150	BigCronkin	1
150	QueenShuvi	1
150	Frozil12	1
150	Professor_x8	1
150	_3Stump_	1
150	laron58	1
150	Skippeh	1
150	alexb1890	1
