rank	username	minecraft:mined/minecraft:warped_fence
1	thewindmillman	75
2	YungMaki	74
3	pintsizedrogue	66
4	rarrq	50
5	Hyp3rion_	31
6	Hoid_the_Roamer	28
7	Arceus1975	25
8	Jackattack53	22
8	PortlyPete69	22
10	Eraxa	17
11	Moofyman	15
12	Fullut	14
13	beeperbeeper5	11
13	Ezekson	11
15	BobDeBouwer1337	8
15	Lord_Jord	8
17	KarlKaek	6
17	12Magner05	6
19	PegLegPete93	5
19	ZA07	5
21	Smoke____	4
22	teslawolf38	3
22	AlexxO_o	3
24	_Razaria	2
24	Alteriity	2
24	Mahoose	2
24	Lez_	2
24	CliffEmAll	2
24	TheSecondLord	2
24	Mattesco	2
24	Spacewardharpy7	2
24	Steelynan	2
33	ShedJr_	1
33	Awyrlas	1
33	gcaisawesome	1
33	noam464	1
33	0Vyp_	1
33	Lutres_Torane	1
33	Kowcio_	1
33	djancak	1
33	Sheldor097	1
33	bladeefan2009	1
33	00000000-0000-0000-0009-01ff0c3e5e4f	1
