rank	username	minecraft:mined/minecraft:brown_carpet
1	joethahobo	1230
2	bigstankyy	677
3	kekhon	409
4	rarrq	207
5	Mahoose	156
6	oreee	155
7	Huwulling	121
8	noam464	117
9	Snowflowe	99
10	CoffeeNoir	71
11	Legendosh	66
12	pintsizedrogue	64
12	bpmm	64
14	ConnorDanky_	62
15	Merv__	60
16	CattSoup	58
17	YungMaki	52
18	Esme_1	50
18	Historical_Sand	50
20	500am	47
20	dezxalo	47
22	xxPipperDipperxx	38
23	ThisUserIsStump	35
24	Crowman1	33
24	Lord_Jord	33
26	beeperbeeper5	31
27	PlasticOtari	29
28	PlzNoBM	28
29	HellsSponge	27
30	TheSecondLord	25
31	Kowcio_	23
32	Di_infiri	22
32	Blaiku	22
34	CalebDHawk	20
35	eitanzaki	19
36	Akoot_	18
36	xolstoi	18
38	KingMatthew506	17
38	ZoomieZoomie	17
40	SteveCraftBlocks	16
40	ClemenPine	16
40	NomadicRobin_	16
43	titanlax	15
43	Onennon	15
43	thgrocks	15
46	binman420	14
47	RoofTyler	13
48	MinttyFressh	12
48	Rebytre	12
48	pixelviolin	12
51	T045RTY	11
51	Xclax101	11
51	MineMaster0012	11
51	EcksD	11
55	Cocoamallows	10
55	xzvu	10
55	cichy096	10
58	EMC_	9
58	Enderxz3	9
60	stickymonkeyboy	8
60	burbankbuilder28	8
60	Ezekson	8
63	Arceus1975	7
63	Kubeusz2010	7
63	2bolx_	7
63	TechnoNinja64	7
67	Blackberry1310	6
67	ApophisNova	6
67	MyNamaSheff	6
70	himak1	5
70	gabriels543	5
70	FreakGenius	5
70	Hermanni__	5
74	peach0s	4
74	Fullut	4
74	selectrix	4
74	wilgot_	4
74	Wowful	4
74	luseis	4
74	fluddd	4
74	Racengan	4
82	Flegneh	3
82	teslawolf38	3
82	Frozil20	3
82	RebelAndroid	3
82	prizm_	3
82	Chromary	3
82	lillips	3
82	jnp_gaming	3
82	FishisTTV	3
91	Hysna	2
91	Hpdinosaur	2
91	heckface	2
91	pr33tu	2
91	shyshyannne	2
91	Awyrlas	2
91	M_Patata	2
91	thewindmillman	2
91	ogoa	2
91	the_russell1611	2
91	Spacewardharpy7	2
91	MasterNueve	2
91	Soplight	2
104	FazeObama69	1
104	ImNotYuqii	1
104	I_Am_Mushkin	1
104	Flores991	1
104	xchh	1
104	Yirtle	1
104	lorpus	1
104	Stay2Blackjesus	1
104	Rumpletaezer	1
104	BronkerBrum	1
104	k1ngGilgamesh	1
104	Sqwishy	1
104	cedric72	1
104	TheShyPig	1
104	Deathkob	1
104	lordpipe	1
104	aidanwest	1
104	Mythic1130	1
104	RealGroot	1
104	Jordan_R	1
104	Smoke____	1
