rank	username	minecraft:mined/minecraft:dark_oak_fence
282	shineh10	6
282	hm947	6
282	Ssor69	6
282	Vizzoid	6
282	Ardennes	6
282	SteveCraftBlocks	6
282	UncreativeArtist	6
282	fade_emerge78823	6
282	Purplehere	6
282	Rumpletaezer	6
282	lizardfightclub	6
282	CheifJumbo	6
282	GlitchyPlate810	6
295	dabloons	5
295	Sleek_Storm_721	5
295	TinMaster	5
295	Mercadies	5
295	Comma__	5
295	groggregg42	5
