rank	username	minecraft:mined/minecraft:jungle_fence_gate
1	MyNameIsJobo	331
2	PigDab	112
3	Freak_Genius	76
4	Blaiku	74
5	Mahoose	58
6	stahouo	54
7	Xalithia	50
8	Soplight	30
9	eitanzaki	26
10	Merv__	23
11	thewindmillman	22
12	The_slideV3	21
13	joethahobo	18
14	T045RTY	16
15	noam464	14
15	Zaridey	14
15	Hermanni__	14
18	Jiminie	10
19	Kim_Jong_eel	8
20	Felenov	7
21	Mr_Byzantine	6
21	The_SlideV5	6
23	Winklepicker279	5
24	chipklip	4
25	_Virify_	3
25	Incinere	3
25	thescout7	3
25	BronkerBrum	3
25	ItsAki_	3
25	MightyWertu	3
25	Njensen7	3
32	500am	2
32	mwrty	2
32	Di_infiri	2
32	Hyp3rion_	2
32	JESS_THE_RERE	2
32	El_Jalapeno	2
32	Frozil12	2
39	AuroraValkyrie	1
39	SaucyDark	1
39	Comma__	1
39	Onennon	1
39	Deathkob	1
39	_Karmaa	1
39	TechnoNinja64	1
39	kinas45y5	1
