rank	username	minecraft:mined/minecraft:muddy_mangrove_roots
1	Enderxz3	960
2	PazinGaming	384
3	Nicserso	279
4	corvidpartyfor6	264
5	hanaryheatwave	184
6	Apollo_993	168
6	Mattesco	168
8	Jackattack53	129
9	oscminus	117
10	Soplight	57
11	EveryonesUncle	52
12	k_ce	50
13	mihimihimihi	37
14	pintsizedrogue	24
15	500am	20
16	MAns_44	15
17	j5ylim	13
17	YungMaki	13
19	Mr_Byzantine	12
20	Merv__	11
20	MattieHD	11
22	DinoDoctor_	9
23	12Magner05	7
23	Kowcio_	7
25	Hyp3rion_	5
25	luseis	5
27	T045RTY	4
27	skroobiez	4
27	AlexxO_o	4
27	Pumpkin_P_Patch	4
27	NATE_the_HALO	4
32	EMC_	3
33	ImpavidArcher	2
33	Di_infiri	2
33	Galactic_Badger	2
33	ItsDeltaMC	2
33	Thunder_bird4337	2
33	Jimb0nat0r	2
39	ebidy	1
39	rarrq	1
39	Blackberry1310	1
39	Nach0Bear	1
39	TheDankPlatypus	1
39	PlasticOtari	1
