rank	username	minecraft:mined/minecraft:iron_trapdoor
1	thewindmillman	2404
2	Mahoose	921
3	noam464	862
4	eitanzaki	845
5	Jackattack53	564
6	PigDab	455
7	Di_infiri	415
8	beeperbeeper5	396
9	Hyp3rion_	373
10	YungMaki	342
11	Snowflowe	315
12	PlasticOtari	310
13	jnp_gaming	309
14	HellsSponge	240
15	Blaiku	202
16	Spacewardharpy7	163
17	luseis	143
18	mwrty	133
19	Alteriity	130
20	StarCookiees_	126
21	m_be9	119
22	500am	101
23	non089	98
24	MightyWertu	85
25	AdmiralSmoke	79
26	Manaateee	78
26	mihimihimihi	78
26	MilleGrug	78
29	_Mythic____	73
30	PazinGaming	71
31	Soplight	63
32	ImpavidArcher	62
33	Merv__	56
33	StinkyDiplomat	56
35	pintsizedrogue	54
35	Kowcio_	54
37	thescout7	52
38	Minimize501	51
39	joethahobo	49
39	Swexti	49
41	TheShyPig	48
41	pixelviolin	48
43	Mr_Byzantine	47
44	RobotMinion101	43
45	Factoroni	42
46	Doom_melon	41
46	EcksD	41
48	KarlKaek	38
48	titanlax	38
48	ratglock	38
48	FreakGenius	38
52	Xclax101	34
53	Lez_	33
54	Huwulling	32
55	12Magner05	31
56	hanaryheatwave	30
56	Dakar_	30
58	Marbz_	28
59	kekhon	27
60	soundad	26
60	SquadMonster	26
60	r123moore	26
60	Ezekson	26
64	Winklepicker279	24
64	tonyth3tiger	24
66	WyngGoy	23
66	Steelynan	23
68	burbankbuilder28	22
68	lordpipe	22
68	Eraxa	22
71	_Virify_	21
71	oreee	21
73	rarrq	20
73	NotMeanttoChange	20
73	Mattesco	20
73	audiocracked	20
77	jushykins	19
77	bloodbiter	19
77	Nicky_H225	19
77	Jimb0nat0r	19
81	Apollo_993	18
81	Frozil20	18
81	EngagedGrub41	18
84	Jonafrog99	17
84	The_slideV3	17
84	Barlycorn	17
87	MinttyFressh	16
87	yheece	16
87	Racengan	16
87	Enderxz3	16
91	MAns_44	15
91	Fildyr	15
91	SkinnyBois	15
94	Inchef	14
94	imcombxt	14
94	Legendosh	14
97	RebelAndroid	13
97	shadowthemonkey	13
97	SkateboardR6	13
97	SvenskaHugo	13
97	PortlyPete69	13
97	CattSoup	13
103	DepressedCubic	12
103	T045RTY	12
