rank	username	minecraft:mined/minecraft:jungle_wall_sign
1	Lez_	80
2	Hyp3rion_	61
3	FreakGenius	55
4	Blackberry1310	54
5	Airem_Core	25
6	titanlax	23
7	Awyrlas	22
7	fluddd	22
9	H72l9w	21
10	Historical_Sand	20
10	kekhon	20
12	soundad	18
13	T045RTY	16
14	cedric72	14
14	HellsSponge	14
16	Mr_Byzantine	13
16	Windo_licker	13
16	Di_infiri	13
16	bladeefan2009	13
20	Comma__	12
20	Njensen7	12
22	_Virify_	11
22	Tyrannosplart	11
24	eitanzaki	10
24	07shiny	10
24	00000000-0000-0000-0009-01f9013b764e	10
27	beeperbeeper5	9
27	ROY4LE	9
27	yatsuta	9
30	Frozil20	8
30	CoffeeNoir	8
32	ShedJr_	7
32	Secret_Canary	7
32	500am	7
32	Kamflame10	7
32	Enderxz3	7
37	himak1	6
37	THEKINGLyric10	6
37	SvenskaHugo	6
37	Hermanni__	6
41	Harotio	5
41	TAKrules	5
41	12Magner05	5
41	_Dean_123	5
41	fkGrim	5
41	bndo	5
41	jcool7	5
41	PlasticOtari	5
41	Smoke____	5
50	SaucyDark	4
50	Incinere	4
50	ITDV	4
50	Xalithia	4
50	Inbefour	4
50	luseis	4
56	pintsizedrogue	3
56	Bandito_Roamer	3
56	Isaac70096	3
56	Mahoose	3
56	joethahobo	3
56	thescout7	3
56	BronkerBrum	3
56	Felenov	3
56	EveryonesUncle	3
56	Blu3beast	3
56	lordpipe	3
56	WyngGoy	3
56	UCP_TheKingK	3
56	Nekomin0	3
56	ThisUserIsStump	3
56	jnp_gaming	3
72	FazeObama69	2
72	PhantomsGhost_	2
72	pZygh0st	2
72	Merv__	2
72	teslawolf38	2
72	rarrq	2
72	TheSecondLord	2
72	bloodbiter	2
72	Fullut	2
72	4774	2
72	Sagaram	2
72	gabriels543	2
72	videogames_	2
72	TheShyPig	2
72	IamCL4SSY	2
72	_Bguette_	2
72	lillips	2
72	DemTechAlpha	2
72	Fuad_R	2
72	Quaintster	2
72	Racengan	2
72	SpacesickPrism	2
72	Kferno	2
72	ConnorDanky_	2
72	KASAN420	2
97	Groovy_MoonBird	1
97	AuroraValkyrie	1
97	Raidor	1
97	Natty	1
97	LoboTheLobster	1
97	heckface	1
97	Prodiginus	1
97	ChosenBruh	1
97	Cryptacity	1
97	Rich_Kat	1
97	mwrty	1
97	xxPipperDipperxx	1
97	Covalents	1
97	olliebollie48	1
97	noam464	1
97	M_Patata	1
97	Jackattack53	1
97	TheWildMateo	1
97	SvenskaAlvar	1
97	Maenara	1
97	Akoot_	1
97	Lord_Jord	1
97	XxCookiequeenxX	1
97	MasterNueve	1
97	OG_Songsee	1
97	Eraxa	1
97	Kowcio_	1
97	YungMaki	1
97	Soplight	1
97	TitanCrafting	1
97	Ezekson	1
97	Legendosh	1
97	HesDemonPants	1
97	Jimb0nat0r	1
97	The_SlideV5	1
97	xolstoi	1
97	Umbreon900	1
