rank	username	minecraft:mined/minecraft:stone_brick_slab
1	PigDab	5635
2	HellsSponge	4942
3	Blu3beast	3361
4	Ezekson	3277
5	burbankbuilder28	3151
6	pappaberg	2777
7	EveryonesUncle	2651
8	Onennon	2379
9	beeperbeeper5	2307
10	obzii	2252
11	TheShyPig	2135
12	Xalithia	1693
13	Freak_Genius	1637
14	Arceus1975	1478
15	Smoke____	1477
16	EcksD	1349
17	Groundler	1330
18	Ssor69	1279
19	Chromary	1261
20	lcvezra	1250
21	mwrty	1234
22	EcksDofficial	1210
23	pintsizedrogue	1180
24	joethahobo	1172
25	Eraxa	1152
26	_Nuf	1124
27	Bumpy419	1035
28	Di_infiri	1021
29	thescout7	1000
30	Kakolbus	932
31	kekhon	898
32	noam464	857
33	Mewar	833
34	Werbe	753
34	AssEatrAndLicker	753
36	TheSecondLord	739
37	MixerDixer	738
38	Legendosh	708
39	Skylord_Luke	681
40	Mahoose	667
41	ApophisNova	658
41	MyNamaSheff	658
43	Warlord324	647
44	FelixPSY375	640
45	diamondgolem35	600
46	_Virify_	596
47	livingdaydreams	581
48	CollinMH06	555
49	claivin	553
50	awesomeoneme	533
51	Blackberry1310	532
52	m_be9	525
53	Jackattack53	507
54	whoaluv	504
55	Hisiste	467
56	DTwenty	449
57	Hiryu27	441
58	07shiny	440
59	Spenduh	436
60	JESS_THE_RERE	417
61	MyNameIsJobo	408
62	Merv__	400
63	_Karmaa	398
64	wobn	382
65	Kubelz	376
66	MyNameIsDakar	365
67	_Dean_123	364
68	SquadMonster	363
69	El_Jalapeno	354
70	NoChumpChange	352
71	Dedalus36	341
72	Cowison	325
73	YungMaki	322
74	jcool7	320
75	Soplight	319
76	__tomato	313
77	H72l9w	309
78	Kowcio_	306
79	WyngGoy	299
80	BlueZabu	292
81	rarrq	287
82	Historical_Sand	286
83	OG_Songsee	284
84	MovingFish7	281
85	OtariCharlie	279
86	500am	268
87	MattieHD	267
88	PortlyPete69	266
89	Donutt	258
90	Fildyr	257
91	Reamdin	244
92	Tolhart	242
93	12Magner05	239
94	set67	235
95	loveseeker	232
96	Rumpletaezer	228
97	Akoot_	227
97	xorompole	227
99	TheSeismicDuck	222
100	valkam13	216
101	benediktine1	213
102	Frozil12	205
103	KartivGal	203
104	eitanzaki	202
104	SkateboardR6	202
106	Snowflowe	198
107	_NieToksikpl_	194
108	The_slideV3	193
109	impossibleteapot	192
110	T045RTY	186
111	_stets	183
111	audiocracked	183
111	Racengan	183
114	jushykins	178
114	Zythose	178
116	Xclax101	176
117	Kkanot	171
118	Fuhrer_Teemo	165
119	Rich_Kat	161
119	Fullut	161
119	Maenara	161
122	Leyna3	159
123	WET_WET_WET	158
124	ROY4LE	156
125	Hyp3rion_	155
126	Yatitay	153
127	djancak	151
128	ImpavidArcher	150
129	Mr_Byzantine	148
130	Quaintster	147
131	Shogunite	145
132	TechnoNinja64	143
133	XboxPanda	142
134	LotusProject	141
135	Sky_light_KING	140
136	Ninzyyy	139
136	Incinere	139
138	Natty	138
138	Nach0Bear	138
138	ImDisconnected_	138
138	Wolverine4302	138
142	Cortexia	137
143	Winklepicker279	134
144	ShedJr_	132
144	bloodbiter	132
144	Inchef	132
147	StanceTB	131
148	Deathkob	129
148	avalan64	129
150	_Bguette_	127
150	SammiWolfGirl	127
152	CalebDHawk	123
153	Smiguli_	119
154	yaboo88	116
154	censorsheep	116
154	OnlyOfficial	116
157	Sral7	115
158	Inbefour	114
158	XxCookiequeenxX	114
158	DarkS0L	114
161	eviltunix	113
162	YungJakobo	112
163	RodSerlingCringe	111
164	M_Patata	109
165	Nycteus_	107
166	MasterNueve	105
167	Kyrum2169	104
167	Skippeh	104
169	Spacewardharpy7	103
170	trexgb	99
171	GLLogan2	98
172	TheThomas69	92
172	theonlymagikarp	92
174	Giannism	90
175	FirsTimeGamingTV	89
175	_TCARREIRA_	89
177	Enderslayerxz3	88
178	LordSpeed37	86
178	SvenskaHugo	86
180	RobotMinion101	83
181	Healthing	80
181	SoftSix	80
183	dendydoom	78
183	Lord_Jord	78
185	fr0stss	77
185	MeetTheWollo	77
187	Myszoaz	76
187	SSytex_X	76
189	sebastiensaborio	74
190	q_wq	73
190	Jackster03	73
190	Freeman666	73
190	drumine	73
190	Dusk_95	73
190	Kferno	73
196	G1ldor	72
196	chipklip	72
198	soundad	69
198	Awyrlas	69
198	LAVA129	69
201	Toiton	68
201	Barlycorn	68
203	Louiis123	67
204	NotMeanttoChange	66
205	Luigipunch989	65
206	kinas45y5	64
207	Steven1282598	63
208	ProfessorBee	62
209	cog	61
209	Ze_BaronKrigler	61
211	EllaBellaChu	60
211	SaucyDark	60
211	Stiar	60
214	TooManyDuck	59
214	SuperPooch06	59
214	Soffbord	59
217	Shin69	58
218	SellyZ	57
219	jjettii	56
219	himak1	56
219	AnnieBathory	56
219	madderfall	56
219	DemTechAlpha	56
219	cichy096	56
225	Comma__	54
226	KeruNatsema	53
227	stavgod	52
227	Slapface522	52
229	NotKaden_	51
229	sxc_	51
231	selectrix	50
231	ogoa	50
231	laron58	50
234	Nicserso	49
235	LittleBug562	48
235	SingedBread	48
237	DanTheBuilderino	47
237	felincaus	47
237	Zoeyfortnite	47
240	MonitorLizards	46
240	UrbanPlanner1978	46
242	fallingemma	45
242	thewindmillman	45
242	SlinkyPinky	45
245	r123moore	44
245	NomadicRobin_	44
247	Meme25327	41
247	CaptainDeadBread	41
247	1442	41
250	FlashMigma	40
250	Matorz	40
250	fffMike	40
253	TheDankPlatypus	39
254	dudcreeper	38
254	youhjjhhhjj	38
254	Z3braYTIL	38
254	killmeiamtraitor	38
254	krutas2000	38
259	Jovaphobic	37
259	Tjhodskins19	37
259	MissCeleste7	37
262	Deodorante	36
262	lordpipe	36
264	SKYPEX_	35
264	Nicky_H225	35
264	Guillemet	35
264	silverpopcorn	35
264	h2p_emrld	35
269	Paintz	34
269	AlphaWolfPlaysMC	34
271	Voxin2K	33
272	CrateOfBoxes	31
272	Kubeusz2010	31
274	PhantomsGhost_	30
274	Adlair	30
274	_Boipl_	30
274	KnightmareD	30
274	Syropatathe	30
274	UltraZombie	30
280	I_Am_Mushkin	29
280	BumbleBeever	29
280	stellarjay	29
280	oxfordschool	29
284	cwartzo	28
284	Quotary	28
286	Tommhh	27
286	RefluxRatio	27
286	Wowful	27
289	MinttyFressh	26
289	Karbl	26
289	Nagasaki_Riku	26
292	jacxhadow	25
292	Fizznut909	25
292	bitsplease	25
