rank	username	minecraft:mined/minecraft:cobweb
282	CACTUSLAD	71
287	Moofyman	70
287	Deodorante	70
289	CliffEmAll	69
289	_Nat666	69
289	Druid95	69
292	robertsnose	68
292	Franco093	68
292	Lez_	68
292	Groundler	68
296	openatheclose	67
296	intropass	67
296	grislgrobl	67
296	El_Jalapeno	67
296	xorompole	67
