rank	username	minecraft:mined/minecraft:copper_block
1	EMC_	371
2	500am	344
3	Jonafrog99	255
4	thewindmillman	250
5	Manaateee	223
6	Heisenbberrg	211
7	PlasticOtari	174
8	pintsizedrogue	158
9	Dakar_	81
10	12Magner05	67
11	Kowcio_	64
12	SpacesickPrism	63
13	ECstardust	53
14	bearlystraight	49
15	Enderxz3	48
16	wwwwinnebagoooo	47
17	luseis	41
18	Nicserso	36
19	Enigma0251	34
20	AdmiralSmoke	33
21	CoffeeNoir	32
22	Lez_	30
23	Steelynan	26
24	Lutres_	24
25	beeperbeeper5	23
26	shrimp_flips	20
27	Apollo_993	17
27	joethahobo	17
27	RadarHz	17
30	sp00ky_ghost977	14
31	dartwaffle	13
32	MineMaster0012	12
32	Njensen7	12
32	Jimb0nat0r	12
35	SingedBread	11
36	Ryker	10
36	Mahoose	10
36	mobunni	10
36	Iamthejo	10
36	00000000-0000-0000-0009-01ff0c3e5e4f	10
41	EveryonesUncle	9
42	weabis	8
42	Soplight	8
44	Winklepicker279	6
44	HolyVenom	6
46	Crowman1	5
46	MattieHD	5
46	Marbz_	5
46	Hyp3rion_	5
50	hanaryheatwave	4
50	Spacewardharpy7	4
52	diamondgolem35	3
52	TheSecondLord	3
52	SteveCraftBlocks	3
52	Mr_Sun15	3
52	Jimi7hits	3
52	Lord_Jord	3
52	NameGenerat0r	3
52	MAns_44	3
52	mihimihimihi	3
52	YungMaki	3
62	ItsGrayWolf	2
62	Myszoaz	2
62	jessewegottacook	2
62	excelsionprime	2
62	noam464	2
62	SuperPooch06	2
62	ZoomieZoomie	2
69	k_ce	1
69	Frozil20	1
69	nattybears	1
69	Mookle96	1
69	LeauVox4921	1
69	Kakolbus	1
69	shadowthemonkey	1
69	Jackattack53	1
69	JETrotter	1
69	ApophisNova	1
69	TheWildMateo	1
69	Mattesco	1
69	autisticcupcake	1
69	iSammael	1
69	EcksD	1
69	MyNamaSheff	1
