rank	username	minecraft:mined/minecraft:comparator
1	thescout7	1039
2	HellsSponge	643
3	eitanzaki	629
4	noam464	548
5	Di_infiri	278
6	Spacewardharpy7	238
7	Smoke____	200
8	thewindmillman	187
9	FreakGenius	181
10	m_be9	176
11	ProfessorBee	169
12	Werbe	155
13	Arceus1975	145
14	Jackattack53	142
15	Soplight	127
16	MightyWertu	119
17	TheSeismicDuck	109
18	Hyp3rion_	107
19	TechnoNinja64	92
20	Hiryu27	91
21	fffMike	88
22	MyNameIsJobo	84
23	Eczbek	78
24	YungMaki	74
25	Jimi7hits	73
26	sp00ky_ghost977	72
27	Deathkob	68
28	gusstationwerker	62
29	Awyrlas	61
30	EcksD	60
31	Zoeyfortnite	59
32	Soap_Bender	55
33	beeperbeeper5	54
34	SteveCraftBlocks	50
35	ssleepless	48
36	Zythose	45
37	SvenskaHugo	44
38	Snowflowe	42
39	MattieHD	41
39	Hisiste	41
41	PigDab	40
42	BumbleBeever	39
42	Ezekson	39
44	EMC_	38
44	Esme_1	38
44	Kakolbus	38
47	obzii	37
48	12Magner05	36
49	WyngGoy	35
50	Merv__	34
51	Groundler	30
52	Blaiku	29
53	Inbefour	28
54	GravitySaint	27
54	Mythic1130	27
56	El_Jalapeno	26
57	T045RTY	24
57	07shiny	24
59	Bumpy419	23
60	Frozil20	22
60	lorpus	22
60	MangoTheFish	22
60	jnp_gaming	22
64	_Nuf	21
64	Fullut	21
64	Rumpletaezer	21
64	PortlyPete69	21
68	Fuad_R	20
69	IamCL4SSY	19
70	ImpavidArcher	18
70	r123moore	18
70	The_slideV3	18
73	Quincannon	17
73	Fildyr	17
75	mihimihimihi	16
76	Historical_Sand	15
76	Paintz	15
76	Lord_Jord	15
76	anbbang	15
76	ConnorDanky_	15
76	Quotary	15
82	PhantomsGhost_	14
82	Mahoose	14
82	Prismyst	14
82	Swexti	14
82	eviltunix	14
87	Blackberry1310	13
87	M_Patata	13
87	TheShyPig	13
87	Akoot_	13
87	Wowful	13
87	Steelynan	13
93	Alteriity	12
93	SlayerCrypto	12
93	masskedman	12
93	HesDemonPants	12
93	PlasticOtari	12
93	Sral7	12
99	LoboTheLobster	11
99	bloodbiter	11
99	Xclax101	11
99	MasterNueve	11
99	MilleGrug	11
104	Jovaphobic	10
104	_Virify_	10
104	Prodiginus	10
104	seramalen	10
104	Leyna3	10
104	Warlord324	10
104	stavgod	10
104	bladeefan2009	10
112	dimondking777	9
112	TheThomas69	9
112	Blu3beast	9
112	Enderxz3	9
116	pintsizedrogue	8
116	Lez_	8
116	H72l9w	8
116	NotMeanttoChange	8
116	mariominejedi	8
116	Hoid_the_Roamer	8
116	Donutt	8
116	Skylord_Luke	8
116	RobotMinion101	8
116	Onennon	8
116	ese_wn_po	8
116	_Bguette_	8
116	claivin	8
116	DanTheBuilderino	8
116	bruh072	8
116	Eraxa	8
116	yatsuta	8
116	SpacesickPrism	8
116	UltraZombie	8
135	CadenSteele	7
135	diamondgolem35	7
135	joethahobo	7
135	Ssor69	7
135	NieToksikpl	7
135	Rich_Kat	7
135	500am	7
135	Covalents	7
135	Azmodan_246	7
135	FishyBoy3811	7
135	groofles	7
135	Barlycorn	7
135	pixelviolin	7
135	Hermanni__	7
149	q_wq	6
149	Ryker	6
149	SyntheticSurgeon	6
149	fr0stss	6
149	slkiey	6
149	andy_rex	6
149	Nyxiom_	6
149	ZA07	6
149	Maenara	6
149	LexMakesHistory	6
149	censorsheep	6
149	lordpipe	6
149	non089	6
162	I_Am_Mushkin	5
162	CoffeeNoir	5
162	SquadMonster	5
162	heckface	5
162	TheSecondLord	5
162	kekhon	5
162	Scathra	5
162	emrekn	5
162	Purplehere	5
162	domagawha	5
162	ApophisNova	5
162	selectrix	5
162	NameGenerat0r	5
162	fluddd	5
162	jcool7	5
162	EngagedGrub41	5
162	MyNamaSheff	5
179	Da_Boss_Rani	4
179	Malorn_Aetherius	4
179	mwrty	4
179	SellyZ	4
179	xxPipperDipperxx	4
179	gcaisawesome	4
179	XboxPanda	4
179	Rasmanden	4
179	parodypatient	4
179	GoofySilly	4
179	BartekB19	4
179	geekbird	4
179	Strangemonkey71	4
179	Logain42	4
179	vandmanden	4
194	Louiis123	3
194	ExtraDumb	3
194	Cryptacity	3
194	Tmb1	3
194	Kkanot	3
194	eiC_	3
194	Marbz_	3
194	okCrypto	3
194	Nicky19	3
194	Fuhrer_Teemo	3
194	Tyrannosplart	3
194	DarlaMeow	3
194	tsitrawhy	3
194	Winston_Ingram	3
194	Nicserso	3
194	calamariclam_I	3
210	Houstonion	2
210	Kegradigm	2
210	Sabby65	2
210	RebelAndroid	2
210	Franco093	2
210	livingdaydreams	2
210	ThiccExotic	2
210	ivorico	2
210	Comma__	2
210	MinttyFressh	2
210	RIPB0ZO	2
210	Zaridey	2
210	prizm_	2
210	pappaberg	2
210	BronkerBrum	2
210	ooga47	2
210	Shiirazu	2
210	MousePlays	2
210	DTwenty	2
210	luseis	2
210	StinkyDiplomat	2
210	MakeHistory157	2
210	Burge_r	2
210	ayamefag	2
210	Jij0	2
210	Kowcio_	2
210	Kyrum2169	2
210	SSytex_X	2
210	SammiWolfGirl	2
210	_TCARREIRA_	2
210	xX_Stalin69_Xx	2
210	Kubeusz2010	2
210	tartanboy	2
210	Legendosh	2
244	Sleek_Storm_721	1
244	bigstankyy	1
244	tuckerdoodle	1
244	Incinere	1
244	Ostrich5183	1
244	Octatrack	1
244	_Dean_123	1
244	set67	1
244	himak1	1
244	Eraza	1
244	Mewar	1
244	ROY4LE	1
244	benediktine1	1
244	ibarker21	1
244	wTXop	1
244	_8man	1
244	S4tox	1
244	Rebytre	1
244	J4ko8_	1
244	0jona0	1
244	KeruNatsema	1
244	Luminad3	1
244	SaintJosie	1
244	fw3xywashere	1
244	ReSynced	1
244	audiocracked	1
244	EveryonesUncle	1
244	rotten_mango	1
244	Lutres_Torane	1
244	Darkgon	1
244	BigCronkin	1
244	Factoroni	1
244	ElKaySVK	1
244	layabout100	1
244	Majonezzon	1
244	__tomato	1
244	ProbsNotNova	1
244	ThisUserIsStump	1
244	Skippeh	1
244	Mr_Teddiursa_K	1
244	BreadBacon	1
244	smogfrog	1
244	xolstoi	1
244	Jordan_R	1
244	JayShroomie	1
