rank	username	minecraft:mined/minecraft:crimson_stem
1	Blackberry1310	4646
2	Historical_Sand	3570
3	Snowflowe	3314
4	beeperbeeper5	3040
5	Enderslayerxz3	2201
6	12Magner05	2196
7	BlancoFlaco	2042
8	Smoke____	1545
9	YungMaki	1530
10	Marbz_	1439
11	Legendosh	1359
12	gcaisawesome	1154
13	soundad	1001
14	Akoot_	960
15	Hermanni__	891
16	PlasticOtari	745
17	thewindmillman	706
18	RebelAndroid	690
19	MilleGrug	625
20	joethahobo	620
21	Spacewardharpy7	591
22	oxfordschool	571
23	TheDankPlatypus	555
24	Lord_Jord	484
24	Lutres_Torane	484
26	r123moore	478
27	set67	454
28	Freak_Genius	452
29	djancak	445
30	Deathkob	411
31	500am	407
32	himak1	386
33	EveryonesUncle	351
34	RoskobiOne	339
35	Cowison	312
36	Luigipunch989	303
37	Awyrlas	302
38	ogoa	300
39	M_Patata	299
40	noam464	294
41	RadarHz	290
42	kekhon	285
43	livingdaydreams	281
44	eitanzaki	262
45	brofrickcheaters	259
46	anbbang	256
47	CliffEmAll	253
48	ShedJr_	242
49	HellsSponge	232
50	pintsizedrogue	229
51	Jackattack53	226
52	lordpipe	222
53	BobDeBouwer1337	205
54	EcksD	200
55	Mahoose	196
55	Winklepicker279	196
55	kyouma777	196
58	Fullut	184
59	Rebytre	183
59	00000000-0000-0000-0009-01ff0c3e5e4f	183
61	iHuntWeeaboos	173
62	MasterNueve	171
63	BiggieDawg	167
64	Kowcio_	155
65	lizardfightclub	141
66	Jiminie	140
67	Eon_57	138
68	Skylord_Luke	132
69	cwartzo	131
70	mwrty	129
71	SvenskaHugo	128
72	DarlaMeow	127
72	mihimihimihi	127
74	KartivGal	120
75	Steelynan	118
76	CoffeeNoir	115
77	whoaluv	108
78	binman420	106
79	trexgb	92
80	TheWildMateo	85
81	Kakolbus	83
82	Yatitay	79
83	TheEnderman548	78
83	Kubeusz2010	78
85	mobunni	74
86	MSK__	73
86	fffMike	73
88	MyNameIsDakar	71
89	SammiWolfGirl	70
90	teslawolf38	69
91	Lumien_	67
92	JitteryJared2	65
93	thescout7	62
93	Vegvisir	62
93	EngagedGrub41	62
96	rarrq	57
97	athereall	56
98	GOOBERGABE04	54
99	Optiprimus	53
100	Kubelz	46
101	orxngejuice	43
101	gustarbite	43
101	Winston_Ingram	43
101	jnp_gaming	43
105	PigDab	42
106	NomadicRobin_	38
106	MightyWertu	38
108	Mr_Byzantine	37
109	lillips	36
110	AuroraValkyrie	35
111	TheSecondLord	34
111	KeruNatsema	34
111	LazySupport00	34
114	Dedalus36	32
114	diggydog67	32
116	hm947	31
117	PhantomsGhost_	30
117	Alteriity	30
119	_Razar	29
119	fluddd	29
119	Eraxa	29
122	Soplight	28
123	egglapras	27
123	Skippeh	27
125	ToastedGamingYT	26
126	StarPlanetMoon	25
127	crying_wolf_13	24
127	breadbowlgamer	24
129	Segotep999	23
130	SuperPooch06	22
131	Hpdinosaur	20
131	MrExplorer	20
131	King_Pancake1	20
131	SingedBread	20
135	Swexti	19
135	titanlax	19
135	Arceus1975	19
138	TheShyPig	18
138	Eczbek	18
140	T045RTY	17
140	monky_irl	17
142	diamondgolem35	16
142	Gryglu583	16
142	RoBe__	16
145	tuckerdoodle	15
145	CarltheCuck	15
145	Nycteus_	15
145	GravitySaint	15
145	GlitchyPlate810	15
150	Fractured_	14
150	bloodbiter	14
150	AuroraSkies	14
153	ExtraDumb	13
153	YahooScreen9000	13
155	AshleeCW	12
155	Ardennes	12
155	trixterrx	12
155	Blaiku	12
155	CalebDHawk	12
160	Di_infiri	11
160	Zythose	11
160	Dusk_95	11
160	PortlyPete69	11
164	Frozil20	10
164	RatatJuice	10
164	TAKrules	10
164	Quotary	10
168	_Virify_	9
168	Lez_	9
170	NieToksikpl	8
170	ApophisNova	8
170	_Ruzeeq_	8
170	Spenduh	8
170	Sheldor097	8
170	MyNamaSheff	8
170	kinas45y5	8
177	6king6colt6	7
177	jacxhadow	7
177	Hyp3rion_	7
177	regulator75	7
177	sp00ky_ghost977	7
177	Ze_BaronKrigler	7
177	07shiny	7
177	MissCeleste7	7
177	Jordan_R	7
186	Ev0luti0nz	6
186	q_wq	6
186	NotTrixi	6
186	LexMakesHistory	6
186	guccipucci_	6
191	Inchef	5
191	Quinasin	5
191	TheTommyGun63	5
191	KG1999	5
195	EfficientC52	4
195	ItsDeltaMC	4
195	Poppy235	4
198	Merv__	2
198	EMC_	2
198	Da_Boss_Rani	2
198	burbankbuilder28	2
198	Wowful	2
198	NoChumpChange	2
198	CuzIm2Kev	2
198	MAns_44	2
198	HesDemonPants	2
207	Jovaphobic	1
207	Groovy_MoonBird	1
207	fanofbands101	1
207	xxPipperDipperxx	1
207	Bongo_Drums_	1
207	El_Jalapeno	1
207	WyngGoy	1
207	MineMaster0012	1
207	00000000-0000-0000-0009-01f898304150	1
