rank	username	minecraft:mined/minecraft:amethyst_block
1	pintsizedrogue	10198
2	TheSecondLord	5346
3	thewindmillman	1858
4	Hyp3rion_	1705
5	Winklepicker279	1683
6	RadarHz	1665
7	ApophisNova	1622
7	MyNamaSheff	1622
9	Kubelz	1296
10	Enderslayerxz3	1275
11	lordpipe	1273
12	SingedBread	1185
13	Frozil12	1106
14	beeperbeeper5	1101
15	Mahoose	1096
16	Kakolbus	1021
17	sebastiensaborio	1015
18	Kowcio_	840
19	500am	793
20	diamondgolem35	745
21	_Karmaa	712
22	OtariCharlie	625
23	NomadicRobin_	606
24	TheDankPlatypus	584
25	starbits140	512
26	Dan_Scha	511
27	Flores991	497
28	GlitchyPlate810	494
29	pixelviolin	488
30	Deathkob	443
31	rarrq	439
32	SvenskaHugo	405
33	CharlieButt	384
34	eitanzaki	303
35	Smoke____	300
36	12Magner05	225
37	Yahir091	224
38	PigDab	217
39	SuperPooch06	213
40	2blox	208
41	Steven1282598	203
42	gcaisawesome	183
43	MilleGrug	173
43	Miko_Fullbuster	173
45	Spenduh	171
46	TheOuterCore	170
46	mobunni	170
48	smogfrog	166
49	Legendosh	140
50	YungMaki	138
51	_NieToksikpl_	137
52	CollinMH06	131
53	Myszoaz	130
54	Sheldor097	124
55	hm947	121
56	MSK__	117
57	ShedJr_	103
58	SpaggeDR	102
59	Skippeh	100
60	Jonte0599	84
61	_Boipl_	79
62	Auseawesome	69
62	breadbowlgamer	69
64	egglapras	68
65	Racengan	66
66	Nycteus_	65
67	Inchef	63
68	ImpavidArcher	58
69	Xalithia	54
70	WYFYoyo	48
71	yulgur1	44
72	Weepingbiel	41
73	Kkanot	36
74	The_Fulgurator	31
75	strongman951753	25
75	secondstepsis	25
77	IdeallyGrey	24
78	cwartzo	22
79	EcksD	18
80	MyNameIsDakar	16
81	HolyVenom	14
82	noam464	8
83	CoffeeNoir	7
83	joethahobo	7
85	Chickenchaser2	6
85	xxPipperDipperxx	6
85	Quincannon	6
88	susbakaimpostor	5
88	Drlzyy	5
90	lizardfightclub	4
90	AltnumberF4	4
92	CyrusIsTired	3
92	KeruNatsema	3
92	Hermanni__	3
92	Ezekson	3
96	KarlKaek	2
96	Jackattack53	2
96	Spacewardharpy7	2
96	obzii	2
96	Eczbek	2
101	Rocco_Lane	1
101	fluddd	1
101	Ze_BaronKrigler	1
101	SammiWolfGirl	1
