rank	username	minecraft:mined/minecraft:infested_mossy_stone_bricks
1	HellsSponge	32
2	mihimihimihi	28
3	luseis	16
4	MyNameIsJobo	14
4	AssFullaCum	14
6	Iamthejo	9
7	iSammael	8
8	TheSecondLord	5
9	Fullut	4
9	Tyrannosplart	4
11	ChrisKyleST3	3
11	_Bguette_	3
11	Fuad_R	3
11	claivin	3
11	33sudo	3
11	UCP_TheKingK	3
17	Crowman1	2
17	gabriels543	2
17	plato2066	2
20	chipklip	1
20	SmashingPump	1
20	eitanzaki	1
20	Mahoose	1
20	rarrq	1
20	MattieHD	1
20	Zaridey	1
20	Rumpletaezer	1
20	LilLizardWizard	1
20	Jimi7hits	1
20	SaintJosie	1
20	dankxing	1
20	Eraxa	1
20	gusstationwerker	1
