rank	username	minecraft:mined/minecraft:pink_wool
1	beeperbeeper5	3058
2	EMC_	1419
3	xolstoi	1244
4	Iamthejo	695
5	SvenskaHugo	535
6	Wooptey	325
7	Werbe	322
8	BlancoFlaco	301
9	Ezekson	282
10	PeteO1995	234
11	AdmiralSmoke	221
12	hm947	199
13	luseis	190
14	Crowman1	173
15	joethahobo	160
16	UCP_TheKingK	148
17	nattybears	121
18	xxPipperDipperxx	105
19	skrongus	104
20	thewindmillman	98
21	ShedJr_	95
22	EcksD	92
23	ImpavidArcher	88
24	Lutres_	77
25	ConnorDanky_	72
26	Alteriity	62
27	Arceus1975	57
27	SammiWolfGirl	57
29	PlzNoBM	50
30	__tomato	47
31	Blackberry1310	45
31	Afinnity	45
33	TheEnderMan548	42
34	Spacewardharpy7	37
35	Legendosh	34
36	EveryonesUncle	33
37	lordpipe	32
38	YungMaki	31
38	SpacesickPrism	31
40	AlexxO_o	30
40	FreakGenius	30
42	Segotep999	29
43	Mattesco	23
43	Kowcio_	23
43	TechnoNinja64	23
46	Nycteus_	21
47	pintsizedrogue	20
47	Jimb0nat0r	20
49	obzii	14
50	Rumpletaezer	12
51	Huwulling	11
51	noam464	11
51	Quotary	11
54	El_Jalapeno	10
55	eitanzaki	9
55	Lez_	9
55	Motsaro	9
55	KeruNatsema	9
55	LexMakesHistory	9
55	NameGenerat0r	9
61	CoffeeNoir	8
61	500am	8
61	HellsSponge	8
61	CattSoup	8
65	oscminus	7
65	RobotMinion101	7
65	claivin	7
65	Blaiku	7
69	Frozil20	6
69	The11thDoctor	6
69	Kura2218	6
72	6king6colt6	5
72	Mahoose	5
72	Mercadies	5
72	mwrty	5
72	Lord_Jord	5
72	Rickergaming	5
72	queenalina123	5
72	Enderxz3	5
80	Tobinator_007	4
80	MinttyFressh	4
80	Smashic	4
80	Xalithia	4
80	SuperPooch06	4
80	corpsecity	4
80	_Boipl_	4
80	PigDab	4
80	ogoa	4
80	handsome_strong	4
80	Hermanni__	4
91	diamondgolem35	3
91	Fullut	3
91	CollinMH06	3
91	Jackattack53	3
91	NomadicRobin_	3
91	Manaateee	3
97	hollowww	2
97	teslawolf38	2
97	CliffEmAll	2
97	_Dean_123	2
97	Tyrannosplart	2
97	Quaintster	2
97	Groundler	2
97	Eraxa	2
97	mobunni	2
106	Mr_Byzantine	1
106	PazinGaming	1
106	q_wq	1
106	AverageGorg	1
106	RebelAndroid	1
106	Ozixar	1
106	Boboczus	1
106	pr33tu	1
106	Awyrlas	1
106	Eraza	1
106	r123moore	1
106	imcombxt	1
106	Snowflowe	1
106	The_Cruncy	1
106	Leyna3	1
106	_Bguette_	1
106	Dakar_	1
106	Fuad_R	1
106	BigCronkin	1
106	Racengan	1
106	xzvu	1
106	Kiki_Majiki	1
106	Zoeyfortnite	1
