rank	username	minecraft:mined/minecraft:waxed_oxidized_chiseled_copper
1	Secret_Canary	2
2	k_ce	1
2	CLG_Kata	1
2	MyMawgDonaldsGon	1
2	MAns_44	1
2	Buuck_	1
2	TheKingK_	1
2	Steelynan	1
