rank	username	minecraft:mined/minecraft:quartz_slab
1	beeperbeeper5	2722
2	Comma__	2449
3	Hyp3rion_	965
4	thescout7	910
5	Groundler	785
6	cedric72	598
7	jnp_gaming	506
8	eitanzaki	477
9	Yahrto	473
10	Di_infiri	436
10	Eraxa	436
12	Truckoss	429
13	Inbefour	420
13	PlasticOtari	420
15	Smoke____	394
16	YungMaki	371
17	kekhon	366
18	pintsizedrogue	341
19	Rumpletaezer	335
20	Swexti	311
21	The_slideV3	295
22	Merv__	284
23	ImpavidArcher	282
24	Jovaphobic	262
25	TheShyPig	255
25	Lord_Jord	255
27	EcksDofficial	247
28	Skylord_Luke	244
29	rarrq	230
30	SaucyDark	190
31	lordpipe	184
32	Legendosh	182
33	xxPipperDipperxx	175
34	Marbz_	169
35	Incinere	168
36	MakeHistory157	160
37	Soplight	155
38	Sral7	145
39	joethahobo	143
40	titanlax	140
41	EveryonesUncle	139
42	Skippeh	135
43	jedi_george	127
44	SkateboardR6	122
45	Mahoose	121
46	Spenduh	114
47	MunkaKris	113
48	Frozil12	112
49	SuperPooch06	110
50	SammiWolfGirl	102
51	MilleGrug	101
52	chipklip	100
53	Fizznut909	98
54	himak1	97
55	Winklepicker279	96
56	RobotMinion101	95
57	Sheldor097	91
58	Sky_light_KING	90
59	set67	88
60	500am	87
61	Ezekson	86
62	AJplaysMC_	84
63	Blackberry1310	83
64	Optiprimus	82
64	__tomato	82
66	Spacewardharpy7	80
67	Steelynan	79
68	StinkyDiplomat	75
69	KingMatthew506	72
70	_Boipl_	67
71	NinjaKnifeKill	65
71	HellsSponge	65
73	Ssor69	63
74	noam464	57
75	CoffeeNoir	56
76	zylanzagreat	55
77	nocturne78	54
78	NameGenerat0r	53
79	ROY4LE	51
80	Blu3beast	49
81	KarlKaek	48
81	ssleepless	48
83	Freak_Genius	46
84	RedcatVII	41
85	audiocracked	36
85	The_SlideV5	36
87	EMC_	35
87	Blamphe	35
87	Cocoamallows	35
90	BumbleBeever	34
91	_Bguette_	32
91	bloomkieren	32
93	stahouo	31
94	MeetTheWollo	30
95	r123moore	28
95	MovingFish7	28
97	Wooptey	25
97	gabriels543	25
97	Akoot_	25
100	_Karmaa	24
101	DebbieBrunswick	23
102	Maenara	22
102	K_a__a_n	22
104	fffMike	21
105	m_be9	20
105	RodSerlingCringe	20
105	Racengan	20
108	Arceus1975	19
108	Kyrum2169	19
110	soundad	18
110	ProfessorBee	18
110	PigDab	18
113	FishyBoy3811	17
114	CrateOfBoxes	16
114	NomadicRobin_	16
114	Nicserso	16
114	h2p_emrld	16
118	FetteMutter	15
118	tobinwilliams	15
118	The11thDoctor	15
118	wobn	15
118	EcksD	15
123	oxfordschool	14
124	fallingemma	13
124	Donutt	13
124	FelixPSY375	13
127	Smashic	12
127	Irko	12
127	Snowflowe	12
127	MightyWertu	12
127	WyngGoy	12
132	Werbe	11
132	ooga47	11
134	_NieToksikpl_	10
134	Cortexia	10
134	Deathkob	10
134	Hermanni__	10
134	Enderslayerxz3	10
139	ShedJr_	8
139	shdesolt	8
139	Xalithia	8
139	Avrelion	8
139	ClemenPine	8
139	SingedBread	8
139	wwwwinnebagoooo	8
139	TechnoNinja64	8
139	kinas45y5	8
139	trexgb	8
149	teslawolf38	7
149	6king6colt6	7
149	PegLegPete93	7
149	Jackattack53	7
149	AssFullaCum	7
149	RadarHz	7
155	Groovy_MoonBird	6
155	NotTrixi	6
155	lillips	6
155	MyNameIsDakar	6
155	cog	6
160	ManlyAdjective	5
160	Blaiku	5
162	T045RTY	4
162	Historical_Sand	4
162	Hiryu27	4
162	dartwaffle	4
162	SlinkyPinky	4
162	MAns_44	4
168	CliffEmAll	3
168	NotMeanttoChange	3
168	emrekn	3
168	Rebytre	3
168	grislgrobl	3
168	Leyna3	3
168	claivin	3
175	chimpmunker	2
175	ColeSnyder	2
175	RebelAndroid	2
175	elmer1234	2
175	MinttyFressh	2
175	_Nuf	2
175	Zorin_Blitz	2
175	FreddyFart	2
175	DemTechAlpha	2
175	marumochis	2
175	KG1999	2
175	AltnumberF4	2
187	Krasnal1337	1
187	_stets	1
187	AuroraValkyrie	1
187	Zippyzam	1
187	Myszoaz	1
187	TheSecondLord	1
187	MrExplorer	1
187	mwrty	1
187	Awyrlas	1
187	CaptainBadKid	1
187	XboxPanda	1
187	yaboo88	1
187	Zythose	1
187	burbankbuilder28	1
187	k1ngGilgamesh	1
187	fred870d	1
187	Jiminie	1
187	DarlaMeow	1
187	CookTheChef3	1
187	AgentMeatCandy	1
187	Zetsey	1
187	xof_on_microwave	1
187	jcool7	1
187	ZeroKraken	1
