rank	username	minecraft:mined/minecraft:cherry_stairs
1	Lez_	659
2	IlkeCookes_	246
3	Spaghettatron	244
4	Lazy_geniusig	104
5	OreTheBear	94
6	11Brewer	76
7	CacheOut	54
8	Kowcio_	53
9	LovableFemboy	52
10	Mattesco	48
11	Caribouse	38
12	RatatJuice	34
13	k_ce	32
14	bl1ss0	27
14	Werbe	27
16	MyMawgDonaldsGon	26
17	oscminus	23
18	Reneedium	19
19	cutelilreno	17
20	MattieHD	16
21	Alteriity	15
22	Archsam	14
23	shineh10	13
23	Yamdalorian	13
25	Napoleonpancake	12
26	Apollo_993	11
26	Skwillyum13	11
28	FiguraDei	10
29	Mr_Byzantine	8
29	TheSecondLord	8
29	Moofyman	8
29	emreknugrlu	8
29	Paul_Katan	8
34	Tersea_	7
34	Enderxz3	7
36	Krowuss	6
36	KamFurnace	6
38	Soplight	5
38	robonya_	5
38	MisfitsMike	5
41	pintsizedrogue	4
41	craaaash	4
41	thatsjustfrankie	4
44	_Huge_Male_	3
44	steppe_nomad	3
44	GooseWithin	3
44	lordpipe	3
44	TheWickedBird	3
49	PazinGaming	2
49	Jackattack53	2
49	milltesco	2
49	Buuck_	2
49	Corkchef	2
54	SteveCraftBlocks	1
54	VersionD	1
54	XxCookiequeenxX	1
54	luseis	1
54	pizzarel_	1
54	Steelynan	1
54	Jimb0nat0r	1
